id,clutch,day_hatch,day_photo,temp,egg_treat,sp,mass)hatch,SVL_hatch,Tail_length_hatch,Weigth,Distance.moved,Time_hide_sec,Time_snout_sec,Time_emerge_sec,SVL,Tail,Total,Tail_intact,day,speed_1m_s,burst_25cm,25fast,age,Notes,Notes.1,Notes.2.y
LD202_20,CL058_20,24/12/2020,21/2/2021,cold,ablated,Deli,0.091,16.744,21.88,0.262,993.559,0,1001,3752,22.082,NA,NA,Yes,1,2.82,0.83,0.52,59,,,
LD204_20,CL058_20,6/12/2020,31/1/2021,hot,control,Deli,0.104,18.169,23.487,0.316,783.356,10,2051,3723,25.541,29.456,54.997,Yes,1,17.72,7.14,2.64,56,,,
LD209_20,CL059_20,24/12/2020,31/1/2021,cold,control,Deli,0.113,18.051,25.354,0.255,315.902,1,799,3902,22.109,36.438,58.547,Yes,1,2.49,0.83,0.38,38,,Second run; turn back several times,
LD227_20,CL066_20,5/12/2020,11/2/2021,hot,ablated,Deli,0.088,16.618,22.666,0.322,813.81,42,4729,NA,27.068,NA,NA,Yes,1,7.17,2.19,1.42,68,tail tip is invisible,,
LD228_20,CL066_20,6/12/2020,11/2/2021,hot,control,Deli,0.115,18.09,23.867,0.334,328.726,1,NA,NA,25.13,36.875,62.005,Yes,1,2.42,0.75,0.43,67,,,
LD237_20,CL069_20,7/12/2020,1/2/2021,hot,control,Deli,0.099,17.75,24.346,0.374,732.996,3,NA,NA,25.094,38.84,63.934,Yes,1,4.53,1.78,0.88,56,weight and photo on Mon,,
LD238_20,CL069_20,23/12/2020,11/2/2021,cold,control,Deli,0.95,18.519,22.051,0.24,567.284,2,3274,4642,22.569,31.419,53.988,Yes,1,3.12,1.06,0.54,50,,,
LD241_20,CL070_20,25/12/2020,31/1/2021,cold,ablated,Deli,0.112,16.724,24.742,0.251,781.715,31,NA,NA,21.882,33.909,55.791,Yes,1,3.24,1.04,0.61,37,,,
LD242_20,CL070_20,8/12/2020,21/2/2021,hot,ablated,Deli,0.101,17.555,23.529,0.471,464.31,44,497,NA,26.523,42.097,68.62,Yes,1,2.89,0.78,0.67,75,,,
LD243_20,CL070_20,25/12/2020,31/1/2021,cold,ablated,Deli,0.099,17.596,22.114,0.211,1406.93,27,2529,2751,22.596,31.302,53.898,Yes,1,4.5,1.26,1.08,37,,,
LD257_20,Cl076_20,28/12/2020,11/2/2021,cold,ablated,Deli,0.112,16.724,24.742,0.259,485.262,11,3523,3776,21.873,33.795,55.668,Yes,1,4.97,2.08,0.77,45,,,
