id,clutch,temp,egg_treat,sp,Weigth,SVL,Tail,Total,age
LD432_20,CL127_20,hot,control,Deli,0.33,23.24,34.173,57.413,55
LD442_20,CL129_20,hot,ablated,Deli,0.238,22.747,NA,NA,45
LD469_20,CL140_20,hot,control,Deli,0.208,20.377,27.697,48.074,49
LD482_20,CL142_20,hot,ablated,Deli,0.308,23.152,36.71,59.862,61
LD490_20,CL145_20,hot,ablated,Deli,0.291,24.117,36.264,60.381,60
LD493_20,CL146_20,hot,control,Deli,0.228,20.539,31.12,51.659,45
LD496_20,CL147_20,hot,control,Deli,0.335,NA,NA,NA,54
LD503_20,CL149_20,hot,control,Deli,0.301,24.616,32.74,57.356,56
LD532_20,CL155_20,hot,control,Deli,0.28,24.072,36.011,60.083,57
LG029_20,CL009_20,cold,control,Guich,0.387,27.189,NA,NA,54
LG032_20,CL011_20,cold,control,Guich,0.397,27.205,NA,NA,51
LG039_20,CL013_20,cold,control,Guich,0.376,28.52,NA,NA,53
LG053_20,CL017_20,cold,ablated,Guich,0.379,NA,NA,NA,49
LG055_20,CL018_20,hot,control,Guich,0.575,29.692,45.963,75.655,87
LG056_20,CL018_20,cold,ablated,Guich,0.401,24.392,37.651,62.043,46
LG067_20,CL021_20,hot,ablated,Guich,0.564,27.499,42.231,69.73,65
LG068_20,CL021_20,hot,control,Guich,0.479,29.281,39.712,68.993,65
LG069_20,CL022_20,cold,control,Guich,0.327,24.957,38.847,63.804,45
LG084_20,CL025_20,cold,control,Guich,0.469,NA,NA,NA,67
LG087_20,CL026_20,hot,ablated,Guich,0.532,31.193,46.487,77.68,72
LG088_20,CL026_20,cold,ablated,Guich,0.374,NA,NA,NA,62
LG089_20,CL026_20,cold,control,Guich,0.416,27.481,41.226,68.707,41
LG097_20,CL029_20,hot,ablated,Guich,0.457,26.372,43.668,70.04,60
LG100_20,CL029_20,cold,ablated,Guich,0.388,27.365,39.322,66.687,52
LG101_20,CL029_20,hot,control,Guich,0.461,29.664,42.346,72.01,61
LG102_20,CL029_20,cold,control,Guich,0.359,23.94,35.209,59.149,40
LG104_20,CL030_20,cold,ablated,Guich,0.545,26.245,41.193,67.438,60
LG109_20,CL030_20,cold,ablated,Guich,0.333,23.241,35.779,59.02,50
LG111_20,CL031_20,cold,ablated,Guich,0.342,25.947,37.045,62.992,52
LG112_20,CL031_20,cold,ablated,Guich,0.355,25.916,39.144,65.06,50
LG113_20,CL031_20,cold,control,Guich,0.313,25.495,37.362,62.857,53
LG118_20,CL032_20,cold,control,Guich,0.306,23.163,32.574,55.737,51
LG121_20,CL033_20,cold,ablated,Guich,0.422,24.419,34.841,59.26,59
LG122_20,CL034_20,hot,ablated,Guich,0.346,25.821,36.934,62.755,58
LG135_20,CL038_20,hot,control,Guich,0.529,28.481,NA,NA,67
LG141_20,CL040_20,cold,ablated,Guich,0.468,26.249,41.329,67.578,38
LG142_20,CL041_20,cold,ablated,Guich,0.346,25.001,NA,NA,57
LG144_20,CL042_20,hot,ablated,Guich,0.453,27.927,40.804,68.731,59
LG145_20,CL043_20,hot,control,Guich,0.393,27.189,37.898,65.087,67
LG147_20,CL044_20,cold,ablated,Guich,0.416,NA,NA,NA,54
LG148_20,CL044_20,hot,ablated,Guich,0.439,28.577,39.293,67.87,67
LG149_20,CL044_20,hot,control,Guich,0.441,29.464,36.962,66.426,55
LG150_20,CL044_20,cold,control,Guich,0.326,24.868,33.603,58.471,44
LG159_20,CL047_20,hot,control,Guich,0.59,28.258,49.537,77.795,85
LG160_20,CL047_20,cold,ablated,Guich,0.476,28.591,39.573,68.164,38
LG174_20,CL051_20,cold,ablated,Guich,0.367,24.941,NA,NA,36
LG176_20,CL051_20,hot,control,Guich,0.626,30.107,50.163,80.27,77
LG195_20,CL056_20,hot,control,Guich,0.469,29.483,41.951,71.434,75
LG197_20,CL056_20,cold,ablated,Guich,0.254,24.01,32.081,56.091,44
LG212_20,CL061_20,hot,control,Guich,0.416,26.336,NA,NA,53
LG213_20,CL061_20,cold,ablated,Guich,0.278,22.356,31.747,54.103,43
LG214_20,CL062_20,hot,control,Guich,0.505,28.484,43.116,71.6,83
LG217_20,CL063_20,hot,control,Guich,0.451,26.533,41.963,68.496,65
LG219_20,CL064_20,hot,control,Guich,0.61,27.977,49.313,77.29,82
LG220_20,CL064_20,hot,ablated,Guich,0.56,30.116,49.127,79.243,74
LG222_20,CL065_20,cold,ablated,Guich,0.431,27.374,38.701,66.075,65
LG224_20,CL065_20,hot,control,Guich,0.445,26.458,40.514,66.972,75
LG225_20,CL065_20,cold,control,Guich,0.267,23.143,34.289,57.432,44
LG230_20,CL067_20,cold,control,Guich,0.321,25.059,34.191,59.25,53
LG231_20,CL067_20,cold,ablated,Guich,0.302,22.947,32.477,55.424,54
