id,age,day_hatch,temp,egg_treat,sp,Weigth,Distance.moved1,Distance.moved2,Distance.moved3,mean_dist,Movement,Movement.1,Movement.2,Movement.3,Movement.4,Movement.5,mean_tohide,Time_snout_sec1,Time_snout_sec2,Time_snout_sec3,mean_snout,Time_emerge_sec1,Time_emerge_sec3,Time_emerge_sec3,mean_emerge,Notes.y,bd_liz_id.y,SVL,Tail,Total,Tail_intact,Notes,Notes.1,Notes.2.y,day,speed_1m_s1,speed_1m_s2,speed_1m_s3,mean_1m,burst_25cm1,burst_25cm2,burst_25cm3,mean_25cm
LD228_20,67,6/12/2020,hot,control,Deli,0.334,328.726,667.368,721.355,572.483,51.7199,429.719,1148.32,0.039999,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,,LD228_20,25.13,36.875,62.005,Yes,,,,1,2.42,14.34,3,6.586666667,0.75,12.18,0.99,4.64
LD237_20,56,7/12/2020,hot,control,Deli,0.374,732.996,931.813,844.186,836.3316667,130.88,22.4799,1069.12,0.039999,NA,NA,14,NA,452,NA,452,NA,NA,NA,NA,,LD237_20,25.094,38.84,63.934,Yes,weight and photo on Mon,,,1,4.53,3.8,3.97,4.1,1.78,1.11,1.28,1.39
LD263_20,50,12/12/2020,hot,control,Deli,0.394,422.47,818.547,990.328,743.7816667,73.4798,0.039999,1126.56,0.159999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LD263_20,27.002,42.175,69.177,Yes,,,,1,3.16,4.06,4.49,3.903333333,0.95,1.61,1.37,1.31
LD280_20,62,11/12/2020,hot,control,Deli,0.277,556.201,497.868,628.87,560.9796667,103.84,94.3198,1096.2,0.039999,NA,NA,5.666666667,4100,2587,1243,2643.333333,5503,NA,1868,3685.5,,LD280_20,23.846,36.798,60.644,Yes,,,,1,3.27,3.7,3.87,3.613333333,1.15,1.15,1.4,1.233333333
LD290_20,54,8/12/2020,hot,control,Deli,0.362,369.22,1410.84,707.942,829.334,64.9198,637.878,1134.64,0.039999,NA,NA,191.6666667,2084,5156,1365,2868.333333,5270,NA,2870,4070,,LD290_20,26.745,35.738,62.483,Yes,,,,1,3.33,3.34,3.81,3.493333333,1.07,1.19,1.36,1.206666667
LD294_20,61,12/12/2020,hot,control,Deli,0.416,529.417,1095.55,903.692,842.8863333,1.08369,70.4398,131.88,17.0697,1126.6,0.039999,10.33333333,1012,990,698,900,2604,4238,945,2595.666667,,LD294_20,26.394,40.788,67.182,Yes,,,,1,4.82,2.84,3.59,3.75,1.8,0.89,0.98,1.223333333
LD332_20,68,15/12/2020,hot,control,Deli,0.351,1056.6,936.127,955.304,982.677,1.78088,160.28,265.919,11.2527,1024,0.039999,33,1421,899,573,964.3333333,NA,NA,3959,3959,,LD332_20,25.365,NA,NA,Yes,,,,1,6.27,3.47,4.33,4.69,1.83,1.06,1.44,1.443333333
LD336_20,78,14/12/2020,hot,control,Deli,0.327,258.386,175.198,91.8333,175.1391,36.7599,442.679,1163.28,0.039999,NA,NA,54.33333333,1738,1738,NA,1738,3179,NA,NA,3179,,LD336_20,21.897,NA,NA,Yes,,,,1,4.49,4.7,3.86,4.35,1.39,1.44,1.13,1.32
LD353_20,75,17/12/2020,hot,control,Deli,0.398,477.577,460.527,1119.82,685.9746667,1.1245,79.8398,301.039,15.5583,1120.2,0.039999,7.333333333,1515,629,1310,1151.333333,2185,1892,1872,1983,,LD353_20,24.029,NA,NA,Yes,,,,1,2.21,2.15,2.21,2.19,0.7,0.65,0.71,0.686666667
LD419_20,35,27/12/2020,hot,control,Deli,0.196,761.624,381.827,681.459,608.3033333,144.24,33.9599,1055.8,0.039999,NA,NA,12.66666667,NA,1152,NA,1152,NA,NA,NA,NA,,LD419_20,21.269,27.942,49.211,Yes,,,,1,3.54,4.11,6.49,4.713333333,1.3,1.34,2.94,1.86
LD432_20,55,28/12/2020,hot,control,Deli,0.33,1070.78,211.338,664.865,648.9943333,178.76,0.039999,1021.28,2.19999,NA,NA,79,NA,443,NA,443,NA,NA,NA,NA,,LD432_20,23.24,34.173,57.413,Yes,,,,1,3.64,2.92,2.36,2.973333333,1.22,0.86,0.68,0.92
LD469_20,49,3/1/2021,hot,control,Deli,0.208,588.906,886.048,848.604,774.5193333,113.72,2.03999,1086.32,0.039999,NA,NA,4,5831,886,NA,3358.5,NA,NA,NA,NA,,LD469_20,20.377,27.697,48.074,Yes,,,,1,6.59,6.88,7.02,6.83,2.32,2.47,2.3,2.363333333
LD493_20,45,7/1/2021,hot,control,Deli,0.228,404.664,238.079,711.105,451.2826667,70.0798,191.48,1125.92,0.039999,NA,NA,6,985,NA,639,812,997,367,712,692,,LD493_20,20.539,31.12,51.659,Yes,,,,1,2.61,9.28,2.91,4.933333333,0.93,6.16,0.88,2.656666667
LD496_20,54,29/12/2020,hot,control,Deli,0.335,321.303,435.208,518.938,425.1496667,0.814398,61.0798,469.279,14.7826,1123.48,0.039999,3.333333333,3104,NA,2764,2934,3728,NA,3718,3723,,LD496_20,NA,NA,NA,Yes,no photo,,,1,2.67,7.31,4.52,4.833333333,1.01,4.41,1.42,2.28
LD503_20,56,5/1/2021,hot,control,Deli,0.301,778.569,1199.22,1082.36,1020.049667,1.6752,125.64,61.7998,14.1368,1074.4,0.039999,2,3851,NA,1431,2641,NA,NA,NA,NA,,LD503_20,24.616,32.74,57.356,Yes,,,,1,4.06,4.7,9.05,5.936666667,1.11,1.34,3.49,1.98
LD532_20,57,4/1/2021,hot,control,Deli,0.28,90.6654,139.535,194.128,141.4428,2.47999,1172.72,1197.56,0.039999,NA,NA,10.33333333,4405,NA,2666,3535.5,NA,NA,4359,4359,,LD532_20,24.072,36.011,60.083,Yes,,,,1,2.98,3,2.49,2.823333333,0.85,0.85,0.83,0.843333333
LG053_20,49,13/12/2020,cold,ablated,Guich,0.379,760.213,573.576,743.343,692.3773333,0.702511,139.8,84.5598,5.32783,1060.24,0.039999,3.333333333,2218,NA,1131,1674.5,NA,3920,3535,3727.5,,LG053_20,NA,NA,NA,Yes,too blurred to set scale,,,1,4.69,2.72,4.05,3.82,1.86,0.95,1.72,1.51
LG056_20,46,16/12/2020,cold,ablated,Guich,0.401,488.732,684.143,1011.75,728.2083333,94.7998,348.199,1105.24,0.039999,NA,NA,23.66666667,6778,376,4597,3917,NA,NA,5132,5132,,LG056_20,24.392,37.651,62.043,Yes,,,,1,5.64,6.11,11.55,7.766666667,2.15,1.89,3.21,2.416666667
LG088_20,62,21/12/2020,cold,ablated,Guich,0.374,776.988,541.1,745.028,687.7053333,136.12,25.1599,1063.92,0.039999,NA,NA,40,328,2271,145,914.6666667,577,719,646,647.3333333,,LG088_20,NA,NA,NA,Yes,cannot see cloaca,V2.4 wrong,,1,3.39,3.81,3.25,3.483333333,0.96,1.21,1.32,1.163333333
LG100_20,52,21/12/2020,cold,ablated,Guich,0.388,1121.23,1018.67,1765.7,1301.866667,164.8,18.4,1035.24,0.039999,NA,NA,24,375,4476,190,1680.333333,655,522,476,551,,LG100_20,27.365,39.322,66.687,Yes,wrong V1.1,,,1,2.25,2.64,2.07,2.32,1.2,0.85,0.63,0.893333333
LG104_20,60,23/12/2020,cold,ablated,Guich,0.545,19.3447,48.0145,901.169,322.8427333,0,NA,1200.04,0.039999,NA,NA,9.666666667,2308,429,1143,1293.333333,5091,1019,4889,3666.333333,,LG104_20,26.245,41.193,67.438,Yes,,,,1,4.04,4.7,5.14,4.626666667,1.36,1.71,1.83,1.633333333
LG109_20,50,23/12/2020,cold,ablated,Guich,0.333,771.012,1158.01,1648.01,1192.344,0.97387,168.48,25.5599,5.92849,1031.56,0.039999,15.66666667,1092,1375,1000,1155.666667,1094,1003,1418,1171.666667,,LG109_20,23.241,35.779,59.02,Yes,,,,1,2.77,2.47,3.75,2.996666667,1.23,0.85,1.31,1.13
LG111_20,52,21/12/2020,cold,ablated,Guich,0.342,2083.31,1764.27,1772.71,1873.43,1.37842,296.359,17.52,4.20315,903.678,0.039999,63.33333333,483,197,271,317,684,1526,643,951,,LG111_20,25.947,37.045,62.992,Yes,,,,1,4.68,4.18,5.35,4.736666667,1.93,1.7,1.55,1.726666667
LG112_20,50,23/12/2020,cold,ablated,Guich,0.355,847.639,139.023,773.12,586.594,155.36,6.11998,1044.68,0.039999,NA,NA,14.33333333,NA,1844,27,935.5,NA,740,587,663.5,,LG112_20,25.916,39.144,65.06,Yes,,,,1,2.99,4.01,3.42,3.473333333,1.18,1.5,1.23,1.303333333
LG121_20,59,3/12/2020,cold,ablated,Guich,0.422,220.285,645.345,417.782,427.804,36.1999,469.879,1163.84,0.039999,NA,NA,33,927,49,1064,680,1902,2835,2832,2523,,LG121_20,24.419,34.841,59.26,Yes,,,,1,3.51,4.01,2.94,3.486666667,1.21,1.6,0.85,1.22
LG141_20,38,24/12/2020,cold,ablated,Guich,0.468,1185.84,1271.52,1393.79,1283.716667,0.606649,248.119,2.91999,2.32175,951.918,0.039999,14.66666667,181,127,199,169,NA,NA,1922,1922,,LG141_20,26.249,41.329,67.578,Yes,,,,1,4.96,5.52,4.67,5.05,2.14,1.77,1.74,1.883333333
LG142_20,57,26/12/2020,cold,ablated,Guich,0.346,493.414,284.865,424.755,401.0113333,0.981998,98.1998,231.159,10.756,1086.36,0.039999,40.66666667,2420,303,889,1204,4541,3378,2459,3459.333333,,LG142_20,25.001,NA,NA,Yes,,,,1,4.04,3.96,3.16,3.72,1.59,1.2,1.51,1.433333333
LG147_20,54,29/12/2020,cold,ablated,Guich,0.416,301.022,742.369,1259.27,767.5536667,0.956979,50.7199,2.91999,20.997,1133.84,0.039999,2.666666667,2496,NA,358,1427,2825,2268,1057,2050,,LG147_20,NA,NA,NA,Yes,no photo,,,1,4.42,3.43,4.25,4.033333333,1.76,1.44,1.54,1.58
LG160_20,38,24/12/2020,cold,ablated,Guich,0.476,475.002,675.094,809.354,653.15,95.5998,156.96,1104.44,0.039999,NA,NA,7,629,446,8,361,1403,474,335,737.3333333,,LG160_20,28.591,39.573,68.164,Yes,,,,1,9.99,5.37,11.51,8.956666667,5.79,1.63,4.48,3.966666667
LG174_20,36,26/12/2020,cold,ablated,Guich,0.367,668.384,688.869,866.166,741.1396667,108.12,30.4399,1091.92,0.039999,NA,NA,27.33333333,170,474,408,350.6666667,563,3410,499,1490.666667,tip tail missing,LG174_20,24.941,NA,NA,No,drop 1cm tail before measurement,,,1,3.48,3.48,5.01,3.99,0.89,1,1.58,1.156666667
LG197_20,44,29/12/2020,cold,ablated,Guich,0.254,149.931,654.911,1463.03,755.9573333,1.25176,21.2799,77.4398,65.4865,1178.76,0.039999,6.666666667,1611,692,3586,1963,3314,NA,4073,3693.5,,LG197_20,24.01,32.081,56.091,Yes,,,,1,10.85,3.43,2.68,5.653333333,7.1,1.01,0.85,2.986666667
LG213_20,43,30/12/2020,cold,ablated,Guich,0.278,762.912,552.99,779.655,698.519,155.64,354.519,1044.4,0.039999,NA,NA,70,581,1410,13,668,805,425,613,614.3333333,,LG213_20,22.356,31.747,54.103,Yes,,,,1,4.18,3.72,3.63,3.843333333,1.61,1.16,1.29,1.353333333
LG222_20,65,27/12/2020,cold,ablated,Guich,0.431,529.531,676.192,1336.11,847.2776667,1.19384,108.64,364.239,11.863,1091.4,0.039999,28.66666667,2428,88,93,869.6666667,4648,3213,394,2751.666667,,LG222_20,27.374,38.701,66.075,Yes,has two photos,,,1,26.64,3.8,3.59,11.34333333,22.39,1.61,1.33,8.443333333
LG231_20,54,29/12/2020,cold,ablated,Guich,0.302,813.164,1038.99,986.894,946.3493333,0.865927,172.32,112.84,5.05919,1011.84,0.039999,25,NA,591,282,436.5,NA,431,NA,431,,LG231_20,22.947,32.477,55.424,Yes,,,,1,3.6,3.58,4.7,3.96,1.33,1.29,1.34,1.32
LG234_20,62,30/12/2020,cold,ablated,Guich,0.351,1271.07,1579.86,1603.43,1484.786667,1.46367,215.159,0.519998,6.65458,984.878,0.039999,2.5,169,NA,203,186,986,NA,1218,1102,,LG234_20,23.754,35.988,59.742,Yes,,,,1,16.86,12.05,2.54,10.48333333,8.78,8.57,0.9,6.083333333
LG307_20,49,3/1/2021,cold,ablated,Guich,0.257,1043.6,1097.3,760.811,967.237,180.04,0.519998,1019.2,0.039999,NA,NA,32.66666667,121,351,580,350.6666667,348,1317,1049,904.6666667,,LG307_20,23.207,31.873,55.08,Yes,,,,1,4.7,4.82,3.98,4.5,1.46,1.63,1.14,1.41
LG314_20,58,3/1/2021,cold,ablated,Guich,0.197,1107.08,1179.02,35.9038,774.0012667,217.359,211.359,982.678,0.039999,NA,NA,25,852,806,NA,829,1076,1227,NA,1151.5,,LG314_20,21.076,27.99,49.066,Yes,,,,1,4.51,5.91,4.77,5.063333333,1.84,2.6,1.68,2.04
LG341_20,58,3/1/2021,cold,ablated,Guich,0.241,829.029,1029.05,1305.69,1054.589667,139.36,35.5199,1060.68,0.039999,NA,NA,9,364,303,34,233.6666667,1065,454,117,545.3333333,,LG341_20,22.511,30.771,53.282,Yes,,,,1,9.75,20.34,27,19.03,3.17,6.13,11,6.766666667
LG067_20,65,27/11/2020,hot,ablated,Guich,0.564,703.317,300.48,325.124,442.9736667,120.44,7.27998,1075.6,0.039999,NA,NA,3.333333333,2770,31,702,1167.666667,3975,4211,1016,3067.333333,,LG067_20,27.499,42.231,69.73,Yes,,,,1,6.15,5.16,4.25,5.186666667,3.22,1.62,1.53,2.123333333
LG087_20,72,1/12/2020,hot,ablated,Guich,0.532,559.72,382.67,363.609,435.333,94.5998,55.6399,1105.44,0.039999,NA,NA,3.333333333,51,3789,547,1462.333333,83,2413,5234,2576.666667,,LG087_20,31.193,46.487,77.68,Yes,,,,1,2.94,3.85,2.9,3.23,1.17,1.76,1.15,1.36
LG097_20,60,2/12/2020,hot,ablated,Guich,0.457,687.238,769.358,739.742,732.1126667,132.88,0.239999,1067.16,0.039999,NA,NA,6.666666667,610,189,362,387,2981,3253,902,2378.666667,,LG097_20,26.372,43.668,70.04,Yes,,,,1,4.44,4.6,5.02,4.686666667,1.58,1.3,1.36,1.413333333
LG122_20,58,4/12/2020,hot,ablated,Guich,0.346,612.406,1433.08,1036.87,1027.452,101.32,27.0399,1098.72,0.039999,NA,NA,24.66666667,393,28,795,405.3333333,1019,1797,908,1241.333333,,LG122_20,25.821,36.934,62.755,Yes,,,,1,3.5,2.93,3.4,3.276666667,1.13,0.81,1.01,0.983333333
LG144_20,59,3/12/2020,hot,ablated,Guich,0.453,1154.82,1664.26,2055.46,1624.846667,196.839,0.039999,1003.2,0.119999,NA,NA,73.66666667,1331,1174,30,845,1413,1087,86,862,,LG144_20,27.927,40.804,68.731,Yes,,,,1,3,3.21,4.4,3.536666667,1.01,1.04,2.14,1.396666667
LG148_20,67,6/12/2020,hot,ablated,Guich,0.439,1026.16,782.722,695.148,834.6766667,187.4,75.1998,1012.64,0.039999,NA,NA,6.333333333,1246,264,295,601.6666667,2970,746,1010,1575.333333,,LG148_20,28.577,39.293,67.87,Yes,,,,1,5.23,4.57,3.12,4.306666667,1.58,1.26,1,1.28
LG220_20,74,9/12/2020,hot,ablated,Guich,0.56,470.718,932.61,991.895,798.4076667,76.9198,85.3198,1123.12,0.039999,NA,NA,16,NA,NA,NA,NA,NA,782,NA,782,,LG220_20,30.116,49.127,79.243,Yes,,,,1,2.54,3.07,3.21,2.94,0.75,1.14,1.07,0.986666667
LG274_20,80,12/12/2020,hot,ablated,Guich,0.585,863.331,748.798,649.306,753.8116667,123.72,187.2,1076.32,0.039999,NA,NA,3.333333333,1004,1206,593,934.3333333,1343,NA,2905,2124,,LG274_20,29.628,44.241,73.869,Yes,,,,1,2.55,3.2,2.81,2.853333333,0.91,0.97,1.01,0.963333333
LG276_20,81,11/12/2020,hot,ablated,Guich,0.49,39.5311,817.229,1065.53,640.7633667,0.26,1.04,154.12,239.799,1199,0.039999,12.33333333,721,NA,40,380.5,2688,NA,663,1675.5,,LG276_20,29.512,NA,NA,Yes,,,,1,3.3,2.41,5.19,3.633333333,1.57,0.79,2.43,1.596666667
LG296_20,58,15/12/2020,hot,ablated,Guich,0.345,532.549,976.789,1024.58,844.6393333,1.26356,92.2398,478.479,14.9702,1107.8,0.039999,17.66666667,37,2173,70,760,1412,709,70,730.3333333,,LG296_20,25.041,NA,NA,Yes,tail tip is invisible,,,1,6.27,7.71,6.83,6.936666667,2.63,2.29,2.09,2.336666667
LG304_20,61,12/12/2020,hot,ablated,Guich,0.418,1567.02,1831.65,1244.62,1547.763333,1.52236,309.039,50.3599,4.38915,890.998,0.039999,77,814,780,213,602.3333333,1332,352,NA,842,,LG304_20,25.249,NA,NA,Yes,tail tip is invisible,,,1,3.18,3.02,3.29,3.163333333,0.87,0.82,1.05,0.913333333
LG315_20,58,15/12/2020,hot,ablated,Guich,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1106,299,467,624,2043,1531,3635,2403,,LG315_20,24.262,36.55,60.812,Yes,,,,1,25.03,40.9,28.8,31.57666667,10.32,14,10,11.44
LG316_20,73,19/12/2020,hot,ablated,Guich,0.516,20.53,835.222,1298.71,718.154,NA,0,NA,1200.04,1200.04,0.039999,1.333333333,845,97,1228,723.3333333,1554,NA,3429,2491.5,,LG316_20,26.215,NA,NA,Yes,recorded as LG319,,,1,5.7,4.21,3.69,4.533333333,1.84,1.43,1.03,1.433333333
LG320_20,43,19/12/2020,hot,ablated,Guich,0.402,906.354,403.348,633.317,647.673,1.04312,147.08,31.5999,7.41519,1052.96,0.039999,4.333333333,1320,1049,297,888.6666667,2868,NA,1109,1988.5,,LG320_20,26.675,42.074,68.749,Yes,,,,1,4.23,4.54,4.85,4.54,2.26,1.42,1.52,1.733333333
LG324_20,44,18/12/2020,hot,ablated,Guich,0.393,689.774,536.52,1377.68,867.9913333,1.04505,99.2797,71.6398,11.4662,1100.76,0.039999,7.333333333,3608,497,2796,2300.333333,4273,4032,3259,3854.666667,,LG324_20,26.835,NA,NA,Yes,tail tip is invisible,,,1,4.4,3.64,4.05,4.03,1.58,1.15,1.75,1.493333333
LG368_20,65,18/12/2020,hot,ablated,Guich,0.395,751.461,627.567,999.933,792.987,119.96,148.56,1079.44,0.039999,NA,NA,26.33333333,1377,1273,3112,1920.666667,NA,527,3122,1824.5,,LG368_20,26.057,39.706,65.763,Yes,,,,1,3.63,4.96,4.24,4.276666667,1.09,1.71,1.44,1.413333333
LG414_20,59,24/12/2020,hot,ablated,Guich,0.515,917.41,862.39,768.666,849.4886667,117.2,91.3598,1082.84,0.039999,NA,NA,9,138,1433,NA,785.5,1306,311,NA,808.5,,LG414_20,27.309,45.761,73.07,Yes,,,,1,3.25,4.95,3.35,3.85,0.84,1.81,1.18,1.276666667
LG450_20,53,30/12/2020,hot,ablated,Guich,0.329,439.791,590.828,545.269,525.296,75.1198,203.519,1124.92,0.039999,NA,NA,7.666666667,NA,219,NA,219,NA,NA,NA,NA,,LG450_20,27.811,39.267,67.078,Yes,,,,1,4.07,3.83,3.25,3.716666667,1.23,1.21,1.14,1.193333333
LG455_20,42,31/12/2020,hot,ablated,Guich,0.281,925.256,631.986,622.63,726.624,169.84,1.44,1030.12,0.039999,NA,NA,8.333333333,280,NA,372,326,2618,1663,851,1710.666667,,LG455_20,24.615,36.159,60.774,Yes,,,,1,3.58,3.63,3.06,3.423333333,1.16,1.24,1.04,1.146666667
LG457_20,61,31/12/2020,hot,ablated,Guich,0.374,383.424,132.02,855.104,456.8493333,1.228,61.3998,620.238,22.3262,1138.64,0.039999,2,521,495,135,383.6666667,3417,515,3463,2465,,LG457_20,26.456,34.221,60.677,Yes,,,,1,7.19,5.86,12.17,8.406666667,2.29,2.69,4.76,3.246666667
LG467_20,50,2/1/2021,hot,ablated,Guich,0.329,968.543,422.653,785.618,725.6046667,180.6,0.039999,1019.44,2.83999,NA,NA,3.333333333,3493,859,299,1550.333333,3750,715,573,1679.333333,,LG467_20,23.438,NA,NA,Yes,,,,1,7.52,13.7,6.73,9.316666667,4.25,9.33,2.28,5.286666667
LG548_20,42,10/1/2021,hot,ablated,Guich,0.245,721.101,821.626,1384.18,975.6356667,131.4,14.04,1068.64,0.039999,NA,NA,7.333333333,187,134,190,170.3333333,1227,224,257,569.3333333,,LG548_20,22.241,33.678,55.919,Yes,,,,1,6,4.81,4.74,5.183333333,3.26,1.8,2.15,2.403333333
LG029_20,54,8/12/2020,cold,control,Guich,0.387,1188.94,661.263,1775.3,1208.501,1.17286,233.399,90.9198,4.83319,966.638,0.039999,8.5,1263,NA,NA,1263,1542,1982,NA,1762,,LG029_20,27.189,NA,NA,Yes,tail tip is invisible,,,1,2.03,2.57,2.83,2.476666667,0.85,0.95,0.93,0.91
LG032_20,51,11/12/2020,cold,control,Guich,0.397,1066.76,848.427,726.237,880.4746667,174.88,24.8399,1025.16,0.039999,NA,NA,5.666666667,28,222,18,89.33333333,1390,2374,749,1504.333333,,LG032_20,27.205,NA,NA,Yes,,,,1,4.31,4.51,9.35,6.056666667,1.47,1.35,4.13,2.316666667
LG039_20,53,9/12/2020,cold,control,Guich,0.376,318.4,1401.58,1103.15,941.0433333,40.0399,491.439,1160,0.039999,NA,NA,127.3333333,86,5794,648,2176,1542,1565,869,1325.333333,,LG039_20,28.52,NA,NA,Yes,tail tip is invisible,,,1,4.91,7.55,6.34,6.266666667,1.78,2.13,2.13,2.013333333
LG069_20,45,17/12/2020,cold,control,Guich,0.327,1141.63,171.327,559.346,624.101,219.879,0.919997,980.158,0.039999,NA,NA,42,401,790,236,475.6666667,650,284,598,510.6666667,,LG069_20,24.957,38.847,63.804,Yes,,,,1,3.42,2.91,2.93,3.086666667,1.12,0.95,1.17,1.08
LG084_20,67,25/12/2020,cold,control,Guich,0.469,319.942,1512.84,863.049,898.6103333,0.608315,61.4398,454.879,11.1627,1138.6,0.039999,10.66666667,3860,985,938,1927.666667,NA,NA,1454,1454,,LG084_20,NA,NA,NA,Yes,"no photo, probably with wrong ID",,,1,2.72,3.1,4.17,3.33,0.73,0.95,1.46,1.046666667
LG089_20,41,21/12/2020,cold,control,Guich,0.416,2996.82,1618.09,1309.1,1974.67,405.639,9.23998,794.398,0.039999,NA,NA,45.66666667,153,1138,127,472.6666667,282,1363,1613,1086,,LG089_20,27.481,41.226,68.707,Yes,,,second run,1,5.46,6.91,5.17,5.846666667,1.88,2.92,2.31,2.37
LG102_20,40,22/12/2020,cold,control,Guich,0.359,777.254,795.676,740.609,771.1796667,0.875252,154.92,86.8798,5.87145,1045.12,0.039999,4.333333333,3442,8,1464,1638,7818,3779,NA,5798.5,,LG102_20,23.94,35.209,59.149,Yes,,,,1,9.33,9.44,11.17,9.98,4.73,2.78,4.07,3.86
LG113_20,53,20/12/2020,cold,control,Guich,0.313,1242.36,2082.29,1572.88,1632.51,236.759,116.88,963.278,0.039999,NA,NA,58,205,840,994,679.6666667,1174,449,1220,947.6666667,,LG113_20,25.495,37.362,62.857,Yes,,,,1,2.37,3.01,3.54,2.973333333,0.75,1.1,1.51,1.12
LG118_20,51,22/12/2020,cold,control,Guich,0.306,27.0626,481.029,600.796,369.6292,NA,0,NA,1200.04,1200.04,0.039999,4.666666667,1255,1000,216,823.6666667,2638,382,1100,1373.333333,,LG118_20,23.163,32.574,55.737,Yes,,,,1,4.24,5.21,4.44,4.63,1.45,2.18,1.41,1.68
LG150_20,44,29/12/2020,cold,control,Guich,0.326,787.871,823.147,719.752,776.9233333,150.88,76.3198,1049.16,0.039999,NA,NA,3.333333333,1633,695,2135,1487.666667,NA,NA,NA,NA,,LG150_20,24.868,33.603,58.471,Yes,,,,1,10.63,13.3,16.29,13.40666667,4.05,3.83,5.73,4.536666667
LG225_20,44,29/12/2020,cold,control,Guich,0.267,643.652,589.623,984.173,739.1493333,97.0398,214.759,1102.96,0.039999,NA,NA,36.66666667,842,85,575,500.6666667,875,NA,721,798,,LG225_20,23.143,34.289,57.432,Yes,,,,1,3.63,3.38,5.12,4.043333333,1.04,1,1.49,1.176666667
LG230_20,53,30/12/2020,cold,control,Guich,0.321,644.745,903.274,612.51,720.1763333,1.2567,114.36,48.8399,11.7538,1069.6,0.039999,33.33333333,298,23,274,198.3333333,3727,1718,1396,2280.333333,,LG230_20,25.059,34.191,59.25,Yes,,,,1,4.54,2.42,2.65,3.203333333,1.69,0.76,0.85,1.1
LG233_20,43,30/12/2020,cold,control,Guich,0.369,238.46,313.714,1061.61,537.928,38.5599,431.519,1161.48,0.039999,NA,NA,24.33333333,226,2522,1696,1481.333333,953,1932,3717,2200.666667,,LG233_20,24.89,38.769,63.659,Yes,,,,1,28.16,2.9,3.06,11.37333333,25.67,0.93,0.93,9.176666667
LG247_20,42,31/12/2020,cold,control,Guich,0.294,265.35,562.763,362.013,396.7086667,0.938773,45.9999,334.839,23.0807,1154.04,0.039999,25,2151,269,556,992,3659,NA,NA,3659,,LG247_20,25.007,NA,NA,Yes,tail tip is invisible,,,1,5.28,5.28,8.87,6.476666667,1.57,1.88,3.03,2.16
LG252_20,60,1/1/2021,cold,control,Guich,0.381,389.064,462.524,502.301,451.2963333,0.830242,68.0798,476.639,13.638,1131.96,0.039999,13.33333333,2283,508,5169,2653.333333,NA,NA,NA,NA,,LG252_20,25.449,38.531,63.98,Yes,,,,1,6.05,18.42,20.78,15.08333333,1.65,6.07,6.31,4.676666667
LG305_20,49,3/1/2021,cold,control,Guich,0.23,638.678,491.232,847.959,659.2896667,130.68,12.76,1069.36,0.039999,NA,NA,3.333333333,792,149,28,323,1466,380,71,639,,LG305_20,22.188,30.59,52.778,Yes,,,,1,5.06,4.74,5.47,5.09,1.37,1.48,1.54,1.463333333
LG317_20,45,7/1/2021,cold,control,Guich,0.339,603.035,982.04,834.543,806.5393333,94.7998,212.759,1105.24,0.039999,NA,NA,11.33333333,2142,1288,25,1151.666667,NA,1020,149,584.5,,LG317_20,24.469,36.589,61.058,Yes,,,,1,4.51,3.62,4.15,4.093333333,1.73,1.53,1.59,1.616666667
LG321_20,45,7/1/2021,cold,control,Guich,0.245,975.738,1031.07,931.142,979.3166667,178.76,27.7999,1021.28,0.039999,NA,NA,10,36,815,109,320,808,403,126,445.6666667,,LG321_20,22.872,31.149,54.021,Yes,,,,1,4.91,3.81,5.41,4.71,1.99,1.05,1.59,1.543333333
LG325_20,46,6/1/2021,cold,control,Guich,0.299,739.863,551.449,717.918,669.7433333,136.24,212.919,1063.8,0.039999,NA,NA,15.66666667,NA,157,536,346.5,NA,1394,2626,2010,,LG325_20,23.306,36.422,59.728,Yes,,,,1,1.97,2.87,2.86,2.566666667,0.59,0.91,0.8,0.766666667
LG366_20,53,8/1/2021,cold,control,Guich,0.324,67.8987,165.638,417.033,216.8565667,7.03998,28.0399,1193,0.039999,NA,NA,8,43,26,358,142.3333333,2505,2095,1749,2116.333333,,LG366_20,25.207,34.376,59.583,Yes,,,,1,3.87,4.05,4.34,4.086666667,1.16,1.23,1.36,1.25
LG377_20,53,8/1/2021,cold,control,Guich,0.35,570.178,439.598,531.238,513.6713333,0.673824,100.4,4.11999,7.33092,1099.64,0.039999,17.66666667,NA,2187,2097,2142,NA,NA,3415,3415,,LG377_20,25.643,NA,NA,Yes,,,,1,6.36,6.98,12.73,8.69,2.06,1.88,5.18,3.04
LG413_20,43,9/1/2021,cold,control,Guich,0.299,532.941,500.229,508.9,514.0233333,83.3198,188.92,1116.72,0.039999,NA,NA,8,577,203,12,264,NA,1383,150,766.5,,LG413_20,23.326,NA,NA,Yes,part of tail is invisible,,,1,7.51,7.01,6.31,6.943333333,2.75,3.03,1.84,2.54
