id,clutch,day_hatch,day_photo,temp,egg_treat,sp,Weigth,Distance.moved,Movement,Movement.1,Movement.2,Movement.3,Movement.4,Movement.5,Time_hide_sec,Time_snout_sec,Time_emerge_sec,Notes.y,bd_liz_id.y,SVL,Tail,Total,Tail_intact,Notes,Notes.1,Notes.2.y,day,speed_1m_s,burst_25cm,day_hatch,day_photo,age
LD396_20,CL115_20,7/1/2021,2/3/2021,cold,control,Deli,0.279,498.125,97.6798,125.28,1102.36,0.039999,NA,NA,17,2454,2581,,LD396_20,24.188,34.132,58.32,Yes,,,,3,2.65,0.75,7/1/2021,2/3/2021,54
LD408_20,CL120_20,8/1/2021,2/3/2021,cold,ablated,Deli,0.349,241.621,36.6799,259.959,1163.36,0.039999,NA,NA,7,4847,NA,,LD408_20,25.893,34.618,60.511,Yes,,,,3,4.58,1.23,8/1/2021,2/3/2021,53
LD416_20,CL123_20,9/1/2021,21/2/2021,cold,control,Deli,0.252,632.398,103.2,157.32,1096.84,0.039999,NA,NA,3,3833,NA,,LD416_20,23.622,29.731,53.353,Yes,,,,3,2.81,0.8,9/1/2021,21/2/2021,43
LD419_20,CL124_20,27/12/2020,31/1/2021,hot,control,Deli,0.196,681.459,136.48,92.9998,1063.56,0.039999,NA,NA,6,NA,NA,,LD419_20,21.269,27.942,49.211,Yes,,,,3,6.49,2.94,27/12/2020,31/1/2021,35
LD423_20,CL125_20,25/12/2020,21/2/2021,hot,ablated,Deli,0.28,558.782,1.00035,115.04,3.11999,8.76618,1016.88,0.039999,3,1327,1926,,LD423_20,23.383,28.544,51.927,No,,drop 1cm tail,,3,12.5,4.12,25/12/2020,21/2/2021,58
LD426_20,CL125_20,10/1/2021,21/2/2021,cold,control,Deli,0.209,613.425,118.92,4.75999,1081.12,0.039999,NA,NA,7,2843,3693,,LD426_20,21.322,30.629,51.951,Yes,,,,3,3.44,1.37,10/1/2021,21/2/2021,42
LD430_20,CL127_20,26/12/2020,31/1/2021,hot,ablated,Deli,0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LD430_20,NA,NA,NA,Yes,cannot see cloaca,V2.2 wrong,"DAY 3 All NA, WRONG",3,NA,0,26/12/2020,31/1/2021,36
LD432_20,CL127_20,28/12/2020,21/2/2021,hot,control,Deli,0.33,664.865,123.32,122.04,1076.72,0.039999,NA,NA,168,NA,NA,,LD432_20,23.24,34.173,57.413,Yes,,,,3,2.36,0.68,28/12/2020,21/2/2021,55
LD442_20,CL129_20,28/12/2020,11/2/2021,hot,ablated,Deli,0.238,779.085,143.84,11.08,1056.2,0.039999,NA,NA,2,1793,2457,,LD442_20,22.747,NA,NA,Yes,tail tip is invisible,,,3,2.34,0.66,28/12/2020,11/2/2021,45
LD469_20,CL140_20,3/1/2021,21/2/2021,hot,control,Deli,0.208,848.604,157.88,26.9999,1027.64,0.039999,NA,NA,5,NA,NA,,LD469_20,20.377,27.697,48.074,Yes,,,,3,7.02,2.3,3/1/2021,21/2/2021,49
LD482_20,CL142_20,31/12/2020,2/3/2021,hot,ablated,Deli,0.308,387.933,0.804876,65.9998,57.4399,13.8297,1134.04,0.039999,12,NA,NA,,LD482_20,23.152,36.71,59.862,Yes,,,,3,5.34,1.51,31/12/2020,2/3/2021,61
LD490_20,CL145_20,1/1/2021,2/3/2021,hot,ablated,Deli,0.291,199.68,0.912379,38.3199,32.1199,26.9981,1160.92,0.039999,4,4604,NA,,LD490_20,24.117,36.264,60.381,Yes,,,,3,5.45,1.55,1/1/2021,2/3/2021,60
LD493_20,CL146_20,7/1/2021,21/2/2021,hot,control,Deli,0.228,711.105,122.64,0.079999,1069.48,0.039999,NA,NA,9,639,712,,LD493_20,20.539,31.12,51.659,Yes,,,,3,2.91,0.88,7/1/2021,21/2/2021,45
LD496_20,CL147_20,29/12/2020,21/2/2021,hot,control,Deli,0.335,518.938,0.764093,97.0398,0.039999,8.14612,1034.56,0.879997,3,2764,3718,,LD496_20,NA,NA,NA,Yes,no photo,,,3,4.52,1.42,29/12/2020,21/2/2021,54
LD503_20,CL149_20,5/1/2021,2/3/2021,hot,control,Deli,0.301,1082.36,1.69926,183.52,47.1599,9.32585,1016.52,0.039999,2,1431,NA,,LD503_20,24.616,32.74,57.356,Yes,,,,3,9.05,3.49,5/1/2021,2/3/2021,56
LD532_20,CL155_20,4/1/2021,2/3/2021,hot,control,Deli,0.28,194.128,0.079998,1200,1199.96,0.039999,NA,NA,19,2666,4359,,LD532_20,24.072,36.011,60.083,Yes,,,,3,2.49,0.83,4/1/2021,2/3/2021,57
LG029_20,CL009_20,8/12/2020,31/1/2021,cold,control,Guich,0.387,1775.3,1.53004,328.959,10.48,4.00055,864.118,0.039999,NA,NA,NA,NA,LG029_20,27.189,NA,NA,Yes,tail tip is invisible,,,3,2.83,0.93,8/12/2020,31/1/2021,54
LG032_20,CL011_20,11/12/2020,31/1/2021,cold,control,Guich,0.397,726.237,121,13.92,1079.04,0.039999,NA,NA,12,18,749,,LG032_20,27.205,NA,NA,Yes,,,,3,9.35,4.13,11/12/2020,31/1/2021,51
LG039_20,CL013_20,9/12/2020,31/1/2021,cold,control,Guich,0.376,1103.15,149.32,11.52,1050.08,0.039999,NA,NA,144,648,869,*came out to catch a spider! Haha. After that 10:54:03,LG039_20,28.52,NA,NA,Yes,tail tip is invisible,,,3,6.34,2.13,9/12/2020,31/1/2021,53
LG053_20,CL017_20,13/12/2020,31/1/2021,cold,ablated,Guich,0.379,743.343,0.671285,135.6,196.2,5.20984,1057.6,0.039999,3,1131,3535,,LG053_20,NA,NA,NA,Yes,too blurred to set scale,,,3,4.05,1.72,13/12/2020,31/1/2021,49
LG055_20,CL018_20,26/11/2020,21/2/2021,hot,control,Guich,0.575,NA,NA,NA,NA,NA,NA,NA,31,673,3653,,LG055_20,29.692,45.963,75.655,No,stick to tape before sprint speed,,,3,7.73,2.78,26/11/2020,21/2/2021,87
LG056_20,CL018_20,16/12/2020,31/1/2021,cold,ablated,Guich,0.401,1011.75,236.119,137.76,963.918,0.039999,NA,NA,6,4597,5132,,LG056_20,24.392,37.651,62.043,Yes,,,,3,11.55,3.21,16/12/2020,31/1/2021,46
LG067_20,CL021_20,27/11/2020,31/1/2021,hot,ablated,Guich,0.564,325.124,41.0799,317.079,1153,0.039999,NA,NA,4,702,1016,,LG067_20,27.499,42.231,69.73,Yes,,,,3,4.25,1.53,27/11/2020,31/1/2021,65
LG068_20,CL021_20,27/11/2020,31/1/2021,hot,control,Guich,0.479,696.964,117.92,33.1199,1082.12,0.039999,NA,NA,1,466,1034,,LG068_20,29.281,39.712,68.993,Yes,,,,3,3.17,1.38,27/11/2020,31/1/2021,65
LG069_20,CL022_20,17/12/2020,31/1/2021,cold,control,Guich,0.327,559.346,102.24,24.5199,1093.52,0.039999,NA,NA,70,236,598,,LG069_20,24.957,38.847,63.804,Yes,,,,3,2.93,1.17,17/12/2020,31/1/2021,45
LG084_20,CL025_20,25/12/2020,2/3/2021,cold,control,Guich,0.469,863.049,0.873581,163.36,25.6399,5.51424,1036.68,0.039999,15,938,1454,,LG084_20,NA,NA,NA,Yes,"no photo, probably with wrong ID",,,3,4.17,1.46,25/12/2020,2/3/2021,67
LG087_20,CL026_20,1/12/2020,11/2/2021,hot,ablated,Guich,0.532,363.609,44.7199,7.19998,1155.32,0.039999,NA,NA,3,547,5234,,LG087_20,31.193,46.487,77.68,Yes,,,,3,2.9,1.15,1/12/2020,11/2/2021,72
LG088_20,CL026_20,21/12/2020,21/2/2021,cold,ablated,Guich,0.374,745.028,140.24,26.9599,1059.8,0.039999,NA,NA,43,145,646,,LG088_20,NA,NA,NA,Yes,cannot see cloaca,V2.4 wrong,,3,3.25,1.32,21/12/2020,21/2/2021,62
LG089_20,CL026_20,21/12/2020,31/1/2021,cold,control,Guich,0.416,1309.1,238.919,4.95999,956.838,0.039999,NA,NA,2,127,1613,,LG089_20,27.481,41.226,68.707,Yes,,,second run,3,5.17,2.31,21/12/2020,31/1/2021,41
LG097_20,CL029_20,2/12/2020,31/1/2021,hot,ablated,Guich,0.457,739.742,144.32,0.039999,1055.72,1.24,NA,NA,7,362,902,,LG097_20,26.372,43.668,70.04,Yes,,,,3,5.02,1.36,2/12/2020,31/1/2021,60
LG100_20,CL029_20,21/12/2020,11/2/2021,cold,ablated,Guich,0.388,1765.7,228.039,12.72,962.798,0.039999,NA,NA,39,190,476,,LG100_20,27.365,39.322,66.687,Yes,wrong V1.1,,,3,2.07,0.63,21/12/2020,11/2/2021,52
LG101_20,CL029_20,1/12/2020,31/1/2021,hot,control,Guich,0.461,801.423,0.923441,139.44,19.36,6.93077,1053.48,0.039999,172,1937,NA,,LG101_20,29.664,42.346,72.01,Yes,,,,3,2.39,0.91,1/12/2020,31/1/2021,61
LG102_20,CL029_20,22/12/2020,31/1/2021,cold,control,Guich,0.359,740.609,1.22426,149.36,191.8,8.48648,1043.84,0.039999,7,1464,NA,,LG102_20,23.94,35.209,59.149,Yes,,,,3,11.17,4.07,22/12/2020,31/1/2021,40
LG104_20,CL030_20,23/12/2020,21/2/2021,cold,ablated,Guich,0.545,901.169,149.72,258.679,1050.32,0.039999,NA,NA,2,1143,4889,,LG104_20,26.245,41.193,67.438,Yes,,,,3,5.14,1.83,23/12/2020,21/2/2021,60
LG109_20,CL030_20,23/12/2020,11/2/2021,cold,ablated,Guich,0.333,1648.01,1.18958,315.239,38.5199,3.32631,884.798,0.039999,43,1000,1418,,LG109_20,23.241,35.779,59.02,Yes,,,,3,3.75,1.31,23/12/2020,11/2/2021,50
LG111_20,CL031_20,21/12/2020,11/2/2021,cold,ablated,Guich,0.342,1772.71,1.59494,303.039,376.159,4.69632,896.998,0.039999,41,271,643,,LG111_20,25.947,37.045,62.992,Yes,,,,3,5.35,1.55,21/12/2020,11/2/2021,52
LG112_20,CL031_20,23/12/2020,11/2/2021,cold,ablated,Guich,0.355,773.12,120.96,126.08,1076.24,0.039999,NA,NA,15,27,587,,LG112_20,25.916,39.144,65.06,Yes,,,,3,3.42,1.23,23/12/2020,11/2/2021,50
LG113_20,CL031_20,20/12/2020,11/2/2021,cold,control,Guich,0.313,1572.88,270.879,97.5598,929.158,0.039999,NA,NA,81,994,1220,,LG113_20,25.495,37.362,62.857,Yes,,,,3,3.54,1.51,20/12/2020,11/2/2021,53
LG118_20,CL032_20,22/12/2020,11/2/2021,cold,control,Guich,0.306,600.796,0.833821,113.4,57.8799,7.93166,1086.64,0.039999,3,216,1100,,LG118_20,23.163,32.574,55.737,Yes,,,,3,4.44,1.41,22/12/2020,11/2/2021,51
LG121_20,CL033_20,3/12/2020,31/1/2021,cold,ablated,Guich,0.422,417.782,90.8798,27.4399,793.958,0.039999,NA,NA,2,1064,2832,,LG121_20,24.419,34.841,59.26,Yes,,,,3,2.94,0.85,3/12/2020,31/1/2021,59
