"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","mass.hatch","SVL_hatch","Tail_length_hatch","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","X25fast","age","Notes","Notes.1","Notes.2.y","time_tohide","time_hiding","time_active","maternal","scaleage","svldeli","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec","z_svl"
"236","LD342_20","CL100_20","27/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.248,1528.01,NA,NA,NA,23.881,33.619,57.5,"Yes",2,3.87,1.24,0.77,35,"","","",NA,NA,NA,"control",-1.76536616137206,-0.0603912997464915,NA,1.35325450704169,-0.261364764134408,NA,-0.0603912997464915
"237","LD345_20","CL101_20","31/12/2020","2/3/2021","cold","control","Deli",NA,NA,NA,0.302,221.85,2,1875,2506,23.633,31.347,54.98,"Yes",2,3.02,1.37,0.4,61,"","","",2,1875,2506,"control",0.405729674260802,-0.185581663828499,7.53636393840451,1.10525683138678,-0.916290731874155,7.82644313545601,-0.185581663828499
"238","LD349_20","CL102_20","3/1/2021","2/3/2021","cold","control","Deli",NA,NA,NA,0.22,671.728,30,5031,NA,21.164,31.841,53.005,"Yes",2,2.68,0.79,0.55,58,"","","",30,5031,NA,"control",0.155218616303164,-1.43193250624171,8.52337405049132,0.985816794522765,-0.59783700075562,NA,-1.43193250624171
"239","LD353_20","CL103_20","17/12/2020","2/3/2021","hot","control","Deli",NA,NA,NA,0.398,460.527,1,686,1892,24.029,NA,NA,"Yes",2,2.15,0.65,0.41,75,"","","",1,686,1892,"control",1.57478127806311,0.0143190788185772,6.53087762772588,0.765467842139571,-0.891598119283784,7.54538974961182,0.0143190788185772
"240","LD358_20","CL104_20","3/1/2021","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.192,588.665,3,1451,4178,20.821,24.967,45.788,"Yes",2,48.8,31.72,0.88,49,"","","",3,1451,4178,"ablated",-0.59631455756975,-1.60507885656481,7.28000825288419,3.8877303128591,-0.127833371509885,8.33758794211651,-1.60507885656481
"241","LD361_20","CL104_20","18/12/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.257,949.495,17,2352,3739,21.392,35.761,57.153,"Yes",2,4.84,1.88,0.79,44,"","","",17,2352,3739,"ablated",-1.01383298749915,-1.31683813926309,7.76302130901852,1.57691472072854,-0.23572233352107,8.22657347497711,-1.31683813926309
"242","LD365_20","CL105_20","15/12/2020","11/2/2021","hot","ablated","Deli",NA,NA,NA,0.256,1266.5,2,1287,1361,22.08,34.559,56.639,"Yes",2,4.15,1.33,0.74,58,"","","",2,1287,1361,"ablated",0.155218616303164,-0.969535838906554,7.16006920759613,1.42310833424261,-0.301105092783922,7.21597500265147,-0.969535838906554
"243","LD374_20","CL109_20","19/12/2020","11/2/2021","hot","ablated","Deli",NA,NA,NA,0.228,474.413,6,NA,NA,21.585,NA,NA,"Yes",2,4.31,1.2,0.98,54,"tail tip is invisible","","",6,NA,NA,"ablated",-0.178796127640353,-1.2194117672154,NA,1.46093790411566,-0.0202027073175195,NA,-1.2194117672154
"244","LD378_20","CL111_20","7/1/2021","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.299,551.268,3,699,3834,22.926,30.196,53.122,"Yes",2,6.28,1.75,1.41,45,"","","",3,699,3834,"ablated",-0.930329301513267,-0.542475161433254,6.54965074223381,1.83736998048011,0.343589704390077,8.25166392360559,-0.542475161433254
"245","LD383_20","CL111_20","19/12/2020","11/2/2021","hot","ablated","Deli",NA,NA,NA,0.242,260.107,44,4088,NA,23.146,35.483,58.629,"Yes",2,3.21,0.95,0.65,54,"","","",44,4088,NA,"ablated",-0.178796127640353,-0.431419193295989,8.31581113188354,1.16627093714192,-0.430782916092454,NA,-0.431419193295989
"246","LD386_20","CL112_20","9/1/2021","2/3/2021","cold","ablated","Deli",NA,NA,NA,0.334,537.732,27,4498,NA,23.609,29.225,52.834,"Yes",2,3.4,1.09,0.55,52,"","","",27,4498,NA,"ablated",-0.345803499612112,-0.197696860352563,8.41138813251926,1.22377543162212,-0.59783700075562,NA,-0.197696860352563
"247","LD387_20","CL112_20","22/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.418,861.485,14,1152,2737,27.17,41.069,68.239,"Yes",2,4.01,1.28,0.84,61,"","","",14,1152,2737,"ablated",0.405729674260802,1.59989542390561,7.04925484125584,1.38879124131848,-0.174353387144778,7.91461770904068,1.59989542390561
"248","LD390_20","CL114_20","6/1/2021","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.242,846.309,4,2125,2547,21.512,32.253,53.765,"Yes",2,2.86,1.03,0.5,46,"","","",4,2125,2547,"ablated",-0.846825615527387,-1.25626215664276,7.66152708135852,1.05082162483176,-0.693147180559945,7.84267147497946,-1.25626215664276
"249","LD396_20","CL115_20","7/1/2021","2/3/2021","cold","control","Deli",NA,NA,NA,0.279,1103.01,13,1926,2137,24.188,34.132,58.32,"Yes",2,3.34,1.11,0.62,54,"","","",13,1926,2137,"control",-0.178796127640353,0.0945822557905088,7.56320059235807,1.20597080698861,-0.478035800943,7.66715825531915,0.0945822557905088
"250","LD408_20","CL120_20","8/1/2021","2/3/2021","cold","ablated","Deli",NA,NA,NA,0.349,228.458,4,1934,NA,25.893,34.618,60.511,"Yes",2,3.99,1.38,0.69,53,"","","",4,1934,NA,"ablated",-0.262299813626232,0.95526600885431,7.56734567601324,1.38379123090177,-0.371063681390832,NA,0.95526600885431
"251","LD416_20","CL123_20","9/1/2021","21/2/2021","cold","control","Deli",NA,NA,NA,0.252,1054.55,70,443,829,23.622,29.731,53.353,"Yes",2,2.35,0.68,0.49,43,"","","",70,443,829,"control",-1.09733667348503,-0.191134462235362,6.09356977004514,0.854415328156068,-0.713349887877465,6.7202201551353,-0.191134462235362
"252","LD419_20","CL124_20","27/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.196,381.827,12,NA,NA,21.269,27.942,49.211,"Yes",2,4.11,1.34,0.73,35,"","","",12,NA,NA,"control",-1.76536616137206,-1.37892852144892,NA,1.41342302850814,-0.3147107448397,NA,-1.37892852144892
"254","LD426_20","CL125_20","10/1/2021","21/2/2021","cold","control","Deli",NA,NA,NA,0.209,514.295,18,2462,2937,21.322,30.629,51.951,"Yes",2,3.1,0.89,0.66,42,"","","",18,2462,2937,"control",-1.1808403594709,-1.35217412912495,7.8087293067444,1.1314021114911,-0.415515443961666,7.98514393119862,-1.35217412912495
"255","LD430_20","CL127_20","26/12/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.226,326.009,10,838,841,NA,NA,NA,"Yes",2,5.96,1.6,1.4,36,"cannot see cloaca","V2.2 wrong","DAY 3 All NA, WRONG",10,838,841,"ablated",-1.68186247538618,NA,6.73101810048208,1.78507048107726,0.336472236621213,6.73459165997295,NA
"256","LD432_20","CL127_20","28/12/2020","21/2/2021","hot","control","Deli",NA,NA,NA,0.33,211.338,1,NA,NA,23.24,34.173,57.413,"Yes",2,2.92,0.86,0.58,55,"","","",1,NA,NA,"control",-0.0952924416544739,-0.383968006910068,NA,1.07158361628019,-0.544727175441672,NA,-0.383968006910068
"257","LD442_20","CL129_20","28/12/2020","11/2/2021","hot","ablated","Deli",NA,NA,NA,0.238,811.828,7,NA,NA,22.747,NA,NA,"Yes",2,2.68,0.81,0.55,45,"tail tip is invisible","","",7,NA,NA,"ablated",-0.930329301513267,-0.632834335508573,NA,0.985816794522765,-0.59783700075562,NA,-0.632834335508573
"258","LD469_20","CL140_20","3/1/2021","21/2/2021","hot","control","Deli",NA,NA,NA,0.208,886.048,3,NA,NA,20.377,27.697,48.074,"Yes",2,6.88,2.47,1.09,49,"","","",3,NA,NA,"control",-0.59631455756975,-1.82920999226001,NA,1.92861865194525,0.0861776962410524,NA,-1.82920999226001
"259","LD482_20","CL142_20","31/12/2020","2/3/2021","hot","ablated","Deli",NA,NA,NA,0.308,192.998,4,NA,NA,23.152,36.71,59.862,"Yes",2,4.82,1.5,0.96,61,"","","",4,NA,NA,"ablated",0.405729674260802,-0.428390394164972,NA,1.57277392806251,-0.0408219945202552,NA,-0.428390394164972
"260","LD490_20","CL145_20","1/1/2021","2/3/2021","hot","ablated","Deli",NA,NA,NA,0.291,646.936,50,NA,NA,24.117,36.264,60.381,"Yes",2,5.07,1.54,1.04,60,"","","",50,NA,NA,"ablated",0.322225988274922,0.0587414660734835,NA,1.62334081760309,0.0392207131532813,NA,0.0587414660734835
"261","LD493_20","CL146_20","7/1/2021","21/2/2021","hot","control","Deli",NA,NA,NA,0.228,238.079,1,222,367,20.539,31.12,51.659,"Yes",2,9.28,6.16,0.77,45,"","","",1,222,367,"control",-0.930329301513267,-1.74743241572257,5.40267738187228,2.22786154679811,-0.261364764134408,5.90536184805457,-1.74743241572257
"262","LD496_20","CL147_20","29/12/2020","21/2/2021","hot","control","Deli",NA,NA,NA,0.335,435.208,4,5794,NA,NA,NA,NA,"Yes",2,7.31,4.41,0.78,54,"no photo","","",4,5794,NA,"control",-0.178796127640353,NA,8.6645781783293,1.98924327376169,-0.2484613592985,NA,NA
"263","LD503_20","CL149_20","5/1/2021","2/3/2021","hot","control","Deli",NA,NA,NA,0.301,1199.22,2,NA,NA,24.616,32.74,57.356,"Yes",2,4.7,1.34,0.96,56,"","","",2,NA,NA,"control",-0.0117887556685947,0.310636593803006,NA,1.54756250871601,-0.0408219945202552,NA,0.310636593803006
"264","LD532_20","CL155_20","4/1/2021","2/3/2021","hot","control","Deli",NA,NA,NA,0.28,139.535,9,2501,NA,24.072,36.011,60.083,"Yes",2,3,0.85,0.65,57,"","","",9,2501,NA,"control",0.0717149303172846,0.0360254725908604,7.82444593087762,1.09861228866811,-0.430782916092454,NA,0.0360254725908604
"353","LD021_20","CL007_20","1/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.503,1036.1,NA,NA,NA,28.506,NA,NA,"Yes",3,2.91,1.21,0.3,61,"tail tip is invisible","","",NA,NA,NA,"ablated",0.405729674260802,2.27430803041191,NA,1.0681530811834,-1.20397280432594,NA,2.27430803041191
"354","LD027_20","CL008_20","8/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.324,722.443,27,932,2376,25.34,36.999,62.339,"Yes",3,2.38,0.65,0.52,54,"","","",27,932,2376,"control",-0.178796127640353,0.67611168894564,6.83733281468559,0.867100487683383,-0.653926467406664,7.77317368048254,0.67611168894564
"355","LD035_20","CL012_20","7/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.359,45.4606,2,802,2945,26.035,35.531,61.566,"Yes",3,3.19,1.08,0.55,66,"","","",2,802,2945,"control",0.823248104190198,1.02694758828836,6.68710860786651,1.16002091679675,-0.59783700075562,7.98786409608569,1.02694758828836
"356","LD046_20","CL015_20","24/11/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.321,63.0032,234,NA,NA,25.036,40.75,65.786,"Yes",3,12.08,4.26,2.15,68,"","","",234,NA,NA,"ablated",0.990255476161957,0.522652532974148,NA,2.49155119250667,0.765467842139571,NA,0.522652532974148
"357","LD047_20","CL015_20","10/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.345,249.61,13,3017,4049,25.286,NA,NA,"Yes",3,3.25,1,0.62,52,"tail tip is invisible","","",13,3017,4049,"control",-0.345803499612112,0.648852496766494,8.01201823915906,1.17865499634165,-0.478035800943,8.30622521603216,0.648852496766494
"358","LD049_20","CL016_20","14/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.288,861.285,9,NA,NA,23.907,36.375,60.282,"Yes",3,2.52,0.69,0.56,48,"","","",9,NA,NA,"control",-0.679818243555629,-0.0472665035120876,NA,0.924258901523332,-0.579818495252942,NA,-0.0472665035120876
"359","LD050_20","CL016_20","16/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.316,951.825,320,332,880,24.177,36.386,60.563,"Yes",3,5.73,1.69,1.2,57,"","","",320,332,880,"ablated",0.0717149303172846,0.0890294573836459,5.80513496891649,1.74571553072665,0.182321556793955,6.77992190747225,0.0890294573836459
"360","LD058_20","CL019_20","24/11/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.398,467.619,13,1147,1260,25.3,45.39,70.69,"Yes",3,2.85,0.8,0.65,68,"","","",13,1147,1260,"ablated",0.990255476161957,0.655919694738865,7.04490511712937,1.04731899428056,-0.430782916092454,7.13886699994552,0.655919694738865
"361","LD061_20","CL020_20","25/11/2020","11/2/2021","hot","ablated","Deli",NA,NA,NA,0.486,877.755,8,3860,NA,30.147,44.976,75.123,"Yes",3,2.64,0.82,0.45,78,"wrong V1.1","","",8,3860,NA,"ablated",1.82529233602075,3.10268459274487,8.25842246245888,0.970778917158225,-0.798507696217772,NA,3.10268459274487
"362","LD064_20","CL020_20","27/11/2020","21/2/2021","hot","control","Deli",NA,NA,NA,0.472,622.611,16,1850,2076,25.883,NA,NA,"Yes",3,1.94,0.58,0.37,86,"has two photos","","",16,1850,2076,"control",2.49332182390778,0.950218010302615,7.52294091807237,0.662687973075237,-0.994252273343867,7.63819824428578,0.950218010302615
"363","LD065_20","CL020_20","14/12/2020","21/2/2021","cold","control","Deli",NA,NA,NA,0.55,128.411,24,1987,2589,NA,NA,NA,"Yes",3,4.49,1.49,0.83,69,"no photo, probably with wrong ID (LD064)","","",24,1987,2589,"control",1.07375916214784,NA,7.59438124255182,1.50185270175416,-0.186329578191493,7.85902697975154,NA
"364","LD074_20","CL023_20","19/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.252,501.983,5,NA,NA,21.696,31.849,53.545,"Yes",3,2.83,0.92,0.6,54,"","","",5,NA,NA,"ablated",-0.178796127640353,-1.1633789832916,NA,1.04027671165515,-0.510825623765991,NA,-1.1633789832916
"365","LD076_20","CL023_20","18/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.311,927.053,4,4253,NA,26.254,39.122,65.376,"Yes",3,5.75,1.72,0.93,55,"","","",4,4253,NA,"control",-0.0952924416544739,1.13749875657046,8.35537989525363,1.74919985480926,-0.0725706928348354,NA,1.13749875657046
"366","LD090_20","CL027_20","16/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.288,NA,12,314,465,23.669,35.379,59.048,"Yes",3,1.72,0.56,0.32,57,"","","",12,314,465,"ablated",0.0717149303172846,-0.167408869042401,5.74939298590825,0.542324290825362,-1.13943428318836,6.14203740558736,-0.167408869042401
"367","LD157_20","CL046_20","7/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.314,1078.16,2,850,2299,24.832,33.64,58.472,"Yes",3,3.12,0.92,0.56,66,"","","",2,850,2299,"control",0.823248104190198,0.419673362519593,6.74523634948436,1.13783300182139,-0.579818495252942,7.74022952476318,0.419673362519593
"368","LD162_20","CL048_20","22/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.273,461.072,8,1512,2752,22.761,29.021,51.782,"Yes",3,3.24,1.25,0.58,40,"","","",8,1512,2752,"ablated",-1.34784773144266,-0.625767137536202,7.32118855673948,1.17557332980424,-0.544727175441672,7.92008319905323,-0.625767137536202
"369","LD163_20","CL048_20","3/12/2020","2/3/2021","hot","ablated","Deli",NA,NA,NA,0.403,462.851,3,2558,NA,26.14,43.022,69.162,"Yes",3,6.25,1.74,1.44,89,"","","",3,2558,NA,"ablated",2.74383288186542,1.07995157308115,7.84698098213879,1.83258146374831,0.364643113587909,NA,1.07995157308115
"370","LD169_20","CL049_20","23/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.328,1029.81,2,3707,5482,24.75,34.177,58.927,"Yes",3,2.66,0.75,0.62,50,"","","",2,3707,5482,"control",-0.51281087158387,0.378279774395703,8.21797820315073,0.978326122793608,-0.478035800943,8.60922527686273,0.378279774395703
"371","LD172_20","CL050_20","3/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.395,721.643,5,NA,NA,25.198,39.849,65.047,"Yes",3,3.57,1.22,0.65,70,"","","",5,NA,NA,"control",1.15726284813372,0.604430109511588,NA,1.27256559579155,-0.430782916092454,NA,0.604430109511588
"373","LD178_20","CL052_20","23/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.252,914.252,9,284,NA,21.618,34.018,55.636,"Yes",3,11.52,6.6,0.91,50,"","","",9,284,NA,"ablated",-0.51281087158387,-1.20275337199481,5.64897423816121,2.44408465526775,-0.0943106794712413,NA,-1.20275337199481
"374","LD181_20","CL052_20","23/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.258,173.007,11,2146,2294,23.755,36.369,60.124,"Yes",3,2.49,0.75,0.47,50,"","","",11,2146,2294,"control",-0.51281087158387,-0.123996081497835,7.67136092319064,0.912282710476616,-0.755022584278033,7.73805229768932,-0.123996081497835
"375","LD182_20","CL053_20","27/12/2020","2/3/2021","cold","ablated","Deli",NA,NA,NA,0.373,1087.85,5,3821,4276,25.429,40.404,65.833,"Yes",3,19.19,11.09,0.69,65,"","","",5,3821,4276,"ablated",0.739744418204319,0.721038876055714,8.2482674474469,2.95438931001961,-0.371063681390832,8.36077327214494,0.721038876055714
"376","LD183_20","CL053_20","7/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.476,240.34,2,4628,NA,27.473,NA,NA,"Yes",3,8.17,5.73,0.69,76,"","V2.3 wrong","",2,4628,NA,"ablated",1.65828496404899,1.75284978002194,8.43988008831357,2.10046890887191,-0.371063681390832,NA,1.75284978002194
"377","LD185_20","CL053_20","28/12/2020","2/3/2021","cold","control","Deli",NA,NA,NA,0.296,911.627,1,2511,NA,23.516,31.79,55.306,"Yes",3,4.03,1.21,0.77,64,"","","",1,2511,NA,"control",0.65624073221844,-0.244643246883318,7.82843635915759,1.39376637595859,-0.261364764134408,NA,-0.244643246883318
"378","LD186_20","CL054_20","23/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.29,104.514,11,1644,3305,23.113,32.654,55.767,"Yes",3,4.63,1.74,0.79,39,"","","",11,1644,3305,"ablated",-1.43135141742854,-0.448077588516579,7.40488757561612,1.53255686809814,-0.23572233352107,8.10319175228579,-0.448077588516579
"379","LD191_20","CL055_20","4/12/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.363,1416.11,4,3134,3637,26.108,39.914,66.022,"Yes",3,6.96,2.06,1.47,58,"","","",4,3134,3637,"ablated",0.155218616303164,1.06379797771573,8.05006542291597,1.94017947434633,0.385262400790645,8.19891444498699,1.06379797771573
"380","LD192_20","CL055_20","24/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.278,497.617,6,63,3101,22.841,NA,NA,"Yes",3,7.22,2.2,1.69,38,"","","",6,63,3101,"control",-1.51485510341442,-0.585383149122651,4.14313472639153,1.97685495290473,0.524728528934982,8.03947991910045,-0.585383149122651
"381","LD200_20","CL057_20","6/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.331,832.52,1,NA,NA,25.999,NA,NA,"Yes",3,4.09,1.44,0.79,67,"tail tip is invisible","","",1,NA,NA,"control",0.906751790176077,1.00877479350226,NA,1.40854497005471,-0.23572233352107,NA,1.00877479350226
"382","LD201_20","CL057_20","26/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.268,912.871,2,1423,2029,23.051,38.254,61.305,"Yes",3,4.65,2.97,0.49,47,"","","",2,1423,2029,"control",-0.763321929541508,-0.479375179537081,7.26052259808985,1.53686721959926,-0.713349887877465,7.61529833982581,-0.479375179537081
"383","LD202_20","CL058_20","24/12/2020","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.262,1030.58,55,1804,2008,22.082,NA,NA,"Yes",3,5.02,2.74,0.54,59,"","","",55,1804,2008,"ablated",0.238722302289043,-0.968526239196214,7.49776170062257,1.61342993370364,-0.616186139423817,7.60489448081162,-0.968526239196214
"384","LD204_20","CL058_20","6/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.316,513.59,2,2006,3776,25.541,29.456,54.997,"Yes",3,5.99,1.61,1.4,56,"","","",2,2006,3776,"control",-0.0117887556685947,0.777576459834686,7.60389796852188,1.79009141212736,0.336472236621213,8.23642052726539,0.777576459834686
"385","LD209_20","CL059_20","24/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.255,930.684,61,896,946,22.109,36.438,58.547,"Yes",3,3.16,1.38,0.46,38,"","Second run; turn back several times","",61,896,946,"control",-1.51485510341442,-0.95489664310664,6.79794041297493,1.15057202759882,-0.776528789498996,6.85224256905188,-0.95489664310664
"386","LD227_20","CL066_20","5/12/2020","11/2/2021","hot","ablated","Deli",NA,NA,NA,0.322,793.288,5,4382,NA,27.068,NA,NA,"Yes",3,15.03,5.55,1.42,68,"tail tip is invisible","","",5,4382,NA,"ablated",0.990255476161957,1.54840583867834,8.38526052015541,2.71004820376488,0.350656871613169,NA,1.54840583867834
"387","LD228_20","CL066_20","6/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.334,721.355,33,NA,NA,25.13,36.875,62.005,"Yes",3,3,0.99,0.55,67,"","","",33,NA,NA,"control",0.906751790176077,0.570103719360069,NA,1.09861228866811,-0.59783700075562,NA,0.570103719360069
"388","LD237_20","CL069_20","7/12/2020","1/2/2021","hot","control","Deli",NA,NA,NA,0.374,844.186,3,NA,NA,25.094,38.84,63.934,"Yes",3,3.97,1.28,0.7,56,"weight and photo on Mon","","",3,NA,NA,"control",-0.0117887556685947,0.551930924573972,NA,1.3787660946991,-0.356674943938732,NA,0.551930924573972
"389","LD238_20","CL069_20","23/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.24,886.48,21,1475,2156,22.569,31.419,53.988,"Yes",3,2.5,0.73,0.51,50,"","","",21,1475,2156,"control",-0.51281087158387,-0.722688709728724,7.29641326877392,0.916290731874155,-0.673344553263766,7.67600993202889,-0.722688709728724
"390","LD241_20","CL070_20","25/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.251,381.497,6,NA,NA,21.882,33.909,55.791,"Yes",3,4.84,1.35,1.12,37,"","","",6,NA,NA,"ablated",-1.5983587894003,-1.06948621023009,NA,1.57691472072854,0.113328685307003,NA,-1.06948621023009
"391","LD242_20","CL070_20","8/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.471,730.126,8,2605,4177,26.523,42.097,68.62,"Yes",3,3.82,1.01,0.86,75,"","","",8,2605,4177,"ablated",1.57478127806311,1.27328991761102,7.86518795418747,1.34025042261848,-0.150822889734584,8.33734856449717,1.27328991761102
"392","LD243_20","CL070_20","25/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.211,764.838,29,121,667,22.596,31.302,53.898,"Yes",3,8.29,2.74,1.48,37,"","","",29,121,667,"ablated",-1.5983587894003,-0.70905911363915,4.79579054559674,2.1150499691472,0.392042087776024,6.50279004591562,-0.70905911363915
"393","LD257_20","Cl076_20","28/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.259,777.678,5,1238,3108,21.873,33.795,55.668,"Yes",3,3.68,1.36,0.73,45,"","","",5,1238,3108,"ablated",-0.930329301513267,-1.07402940892661,7.12125245324454,1.30291275218084,-0.3147107448397,8.04173471148754,-1.07402940892661
"394","LD258_20","Cl076_20","8/12/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.257,809.597,6,2872,4074,23.566,36.614,60.18,"Yes",3,3.83,1.2,0.7,54,"","","",6,2872,4074,"ablated",-0.178796127640353,-0.219403254124848,7.96276393016811,1.34286480319255,-0.356674943938732,8.31238059678675,-0.219403254124848
"395","LD263_20","CL078_20","12/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.394,990.328,NA,NA,NA,27.002,42.175,69.177,"Yes",3,4.49,1.37,0.99,50,"","","",NA,NA,NA,"control",-0.51281087158387,1.51508904823716,NA,1.50185270175416,-0.0100503358535015,NA,1.51508904823716
"396","LD264_20","CL078_20","11/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.383,786.662,2,2040,4263,25.559,40.586,66.145,"Yes",3,2.46,0.89,0.49,72,"","","",2,2040,4263,"ablated",1.32427022010547,0.786662857227736,7.62070508683826,0.900161349944271,-0.713349887877465,8.35772841676521,0.786662857227736
"397","LD269_20","CL079_20","28/12/2020","21/2/2021","cold","control","Deli",NA,NA,NA,0.383,909.59,7,829,2977,24.703,32.739,57.442,"Yes",3,7,2.41,1.39,55,"","","",7,829,2977,"control",-0.0952924416544739,0.354554181202742,6.7202201551353,1.94591014905531,0.3293037471426,7.99867136101578,0.354554181202742
"398","LD280_20","CL084_20","11/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.277,628.87,10,1243,1868,23.846,36.798,60.644,"Yes",3,3.87,1.4,0.81,62,"","","",10,1243,1868,"control",0.489233360246681,-0.07805929467742,7.12528309151071,1.35325450704169,-0.210721031315653,7.53262361878879,-0.07805929467742
"399","LD281_20","CL084_20","11/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.429,206.895,41,39,4419,26.948,37.733,64.681,"Yes",3,3.78,1.45,0.54,72,"","","",41,39,4419,"ablated",1.32427022010547,1.48782985605801,3.66356164612965,1.3297240096315,-0.616186139423817,8.39366870513074,1.48782985605801
"400","LD282_20","CL084_20","29/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.229,505.737,15,NA,NA,23.016,31.173,54.189,"Yes",3,5.78,1.82,1.12,44,"","","",15,NA,NA,"ablated",-1.01383298749915,-0.49704317446801,NA,1.75440368268429,0.113328685307003,NA,-0.49704317446801
"401","LD283_20","CL084_20","29/12/2020","21/2/2021","cold","control","Deli",NA,NA,NA,0.295,664.541,1,1534,3429,22.994,34.573,57.567,"Yes",3,3.74,1.12,0.76,54,"","","",1,1534,3429,"control",-0.178796127640353,-0.508148771281736,7.3356339819272,1.31908561142644,-0.27443684570176,8.14002395246292,-0.508148771281736
"402","LD287_20","CL086_20","24/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.21,451.075,27,1498,2332,20.72,31.569,52.289,"Yes",3,2.79,0.91,0.45,38,"","","",27,1498,2332,"control",-1.51485510341442,-1.65606364193692,7.31188616407716,1.02604159583327,-0.798507696217772,7.75448154747038,-1.65606364193692
"403","LD290_20","CL086_20","8/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.362,707.942,4,1365,2870,26.745,35.738,62.483,"Yes",3,3.81,1.36,0.71,54,"","","",4,1365,2870,"control",-0.178796127640353,1.38535548545863,7.21890970761906,1.33762918913861,-0.342490308946776,7.96206730875367,1.38535548545863
"405","LD292_20","CL087_20","30/12/2020","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.327,1425.68,1,1544,2622,23.439,41.258,64.697,"Yes",3,3.22,1.01,0.69,53,"","","",1,1544,2622,"ablated",-0.262299813626232,-0.283512835731359,7.34213173058472,1.16938135955632,-0.371063681390832,7.87169266432365,-0.283512835731359
"406","LD294_20","CL087_20","12/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.416,903.692,8,698,945,26.394,40.788,67.182,"Yes",3,3.59,0.98,0.77,61,"","","",8,698,945,"control",0.405729674260802,1.20817073629417,6.54821910276237,1.27815220250019,-0.261364764134408,6.85118492749374,1.20817073629417
"407","LD311_20","CL093_20","31/12/2020","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.276,519.224,2,NA,NA,22.91,32.631,55.541,"Yes",3,9.78,7.79,0.4,52,"","","",2,NA,NA,"ablated",-0.345803499612112,-0.550551959115964,NA,2.28033948404673,-0.916290731874155,NA,-0.550551959115964
