"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","mass.hatch","SVL_hatch","Tail_length_hatch","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","X25fast","age","Notes","Notes.1","Notes.2.y","time_tohide","time_hiding","time_active","maternal","scaleage","svldeli","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec","z_svl"
"192","LD162_20","CL048_20","22/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.273,510.95,7,1953,2523,22.761,29.021,51.782,"Yes",2,2.74,0.9,0.36,40,"","","",7,1953,2523,"ablated",-1.34784773144266,-0.625767137536202,7.57712193087668,1.00795792039998,-1.02165124753198,7.83320394864106,-0.625767137536202
"193","LD163_20","CL048_20","3/12/2020","2/3/2021","hot","ablated","Deli",NA,NA,NA,0.403,142.735,4,6066,NA,26.14,43.022,69.162,"Yes",2,5.35,1.64,1.09,89,"","","",4,6066,NA,"ablated",2.74383288186542,1.07995157308115,8.71045468824853,1.67709656090792,0.0861776962410524,NA,1.07995157308115
"194","LD169_20","CL049_20","23/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.328,802.726,3,3211,4968,24.75,34.177,58.927,"Yes",2,2.44,0.71,0.52,50,"","","",3,3211,4968,"control",-0.51281087158387,0.378279774395703,8.07433769408951,0.89199803930511,-0.653926467406664,8.51077262361331,0.378279774395703
"195","LD172_20","CL050_20","3/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.395,583.33,5,4766,NA,25.198,39.849,65.047,"Yes",2,3.28,1.1,0.64,70,"","","",5,4766,NA,"control",1.15726284813372,0.604430109511588,8.46926265765869,1.18784342239605,-0.44628710262842,NA,0.604430109511588
"197","LD178_20","CL052_20","23/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.252,750.275,5,1641,NA,21.618,34.018,55.636,"Yes",2,4.76,1.41,1.09,50,"","","",5,1641,NA,"ablated",-0.51281087158387,-1.20275337199481,7.40306109109009,1.56024766824333,0.0861776962410524,NA,-1.20275337199481
"198","LD181_20","CL052_20","23/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.258,201.996,22,NA,NA,23.755,36.369,60.124,"Yes",2,2.62,0.86,0.53,50,"","","",22,NA,NA,"control",-0.51281087158387,-0.123996081497835,NA,0.963174317773006,-0.63487827243597,NA,-0.123996081497835
"199","LD182_20","CL053_20","27/12/2020","2/3/2021","cold","ablated","Deli",NA,NA,NA,0.373,710.525,5,1534,NA,25.429,40.404,65.833,"Yes",2,2.52,0.86,0.41,65,"","","",5,1534,NA,"ablated",0.739744418204319,0.721038876055714,7.3356339819272,0.924258901523332,-0.891598119283784,NA,0.721038876055714
"200","LD183_20","CL053_20","7/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.476,602.08,37,3460,4286,27.473,NA,NA,"Yes",2,6.39,5.11,0.01,76,"","V2.3 wrong","",37,3460,4286,"ablated",1.65828496404899,1.75284978002194,8.14902386805177,1.85473426838944,-4.60517018598809,8.36310917603352,1.75284978002194
"201","LD185_20","CL053_20","28/12/2020","2/3/2021","cold","control","Deli",NA,NA,NA,0.296,851.147,0,NA,NA,23.516,31.79,55.306,"Yes",2,9.95,6.54,0.89,64,"","","",0,NA,NA,"control",0.65624073221844,-0.244643246883318,NA,2.2975725511705,-0.116533816255952,NA,-0.244643246883318
"202","LD186_20","CL054_20","23/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.29,552.22,2,2513,3243,23.113,32.654,55.767,"Yes",2,4.09,1.23,0.82,39,"","","",2,2513,3243,"ablated",-1.43135141742854,-0.448077588516579,7.82923253754359,1.40854497005471,-0.198450938723838,8.08425410630732,-0.448077588516579
"203","LD191_20","CL055_20","4/12/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.363,1232.79,2,NA,NA,26.108,39.914,66.022,"Yes",2,3.98,1.49,0.55,58,"","","",2,NA,NA,"ablated",0.155218616303164,1.06379797771573,NA,1.38128181929635,-0.59783700075562,NA,1.06379797771573
"204","LD192_20","CL055_20","24/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.278,814.509,3,3101,3395,22.841,NA,NA,"Yes",2,7.07,2.06,1.26,38,"","","",3,3101,3395,"control",-1.51485510341442,-0.585383149122651,8.03947991910045,1.95586047990848,0.231111720963387,8.1300590399928,-0.585383149122651
"205","LD200_20","CL057_20","6/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.331,752.411,1,991,3073,25.999,NA,NA,"Yes",2,5.13,1.43,1.2,67,"tail tip is invisible","","",1,991,3073,"control",0.906751790176077,1.00877479350226,6.89871453432999,1.63510565918268,0.182321556793955,8.03040956213048,1.00877479350226
"206","LD201_20","CL057_20","26/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.268,1010.92,7,NA,NA,23.051,38.254,61.305,"Yes",2,3.04,0.92,0.57,47,"","","",7,NA,NA,"control",-0.763321929541508,-0.479375179537081,NA,1.11185751541813,-0.562118918153541,NA,-0.479375179537081
"207","LD202_20","CL058_20","24/12/2020","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.262,753.294,0,452,1922,22.082,NA,NA,"Yes",2,2.55,0.76,0.49,59,"","","",0,452,1922,"ablated",0.238722302289043,-0.968526239196214,6.11368217983223,0.936093359170335,-0.713349887877465,7.56112158953024,-0.968526239196214
"208","LD204_20","CL058_20","6/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.316,745.486,13,2800,4405,25.541,29.456,54.997,"Yes",2,14.43,5.64,2.17,56,"","","",13,2800,4405,"control",-0.0117887556685947,0.777576459834686,7.9373746961633,2.66930937278578,0.774727167552368,8.39049553837028,0.777576459834686
"209","LD209_20","CL059_20","24/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.255,486.965,5,782,3572,22.109,36.438,58.547,"Yes",2,10.11,5.58,1.01,38,"","Second run; turn back several times","",5,782,3572,"control",-1.51485510341442,-0.95489664310664,6.66185474054531,2.31352503303238,0.00995033085316809,8.18088094199639,-0.95489664310664
"210","LD227_20","CL066_20","5/12/2020","11/2/2021","hot","ablated","Deli",NA,NA,NA,0.322,891.769,6,NA,NA,27.068,NA,NA,"Yes",2,13.66,4.12,2.15,68,"tail tip is invisible","","",6,NA,NA,"ablated",0.990255476161957,1.54840583867834,NA,2.61447185414264,0.765467842139571,NA,1.54840583867834
"211","LD228_20","CL066_20","6/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.334,667.368,5,NA,NA,25.13,36.875,62.005,"Yes",2,14.34,12.18,0.47,67,"","","",5,NA,NA,"control",0.906751790176077,0.570103719360069,NA,2.66305283517147,-0.755022584278033,NA,0.570103719360069
"212","LD237_20","CL069_20","7/12/2020","1/2/2021","hot","control","Deli",NA,NA,NA,0.374,931.813,36,NA,NA,25.094,38.84,63.934,"Yes",2,3.8,1.11,0.7,56,"weight and photo on Mon","","",36,NA,NA,"control",-0.0117887556685947,0.551930924573972,NA,1.33500106673234,-0.356674943938732,NA,0.551930924573972
"213","LD238_20","CL069_20","23/12/2020","11/2/2021","cold","control","Deli",NA,NA,NA,0.24,884.971,3,704,1702,22.569,31.419,53.988,"Yes",2,2.63,0.73,0.58,50,"","","",3,704,1702,"control",-0.51281087158387,-0.722688709728724,6.55677835615804,0.966983846189673,-0.544727175441672,7.43955930913332,-0.722688709728724
"214","LD241_20","CL070_20","25/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.251,438.321,11,NA,NA,21.882,33.909,55.791,"Yes",2,3.07,1.15,0.52,37,"","","",11,NA,NA,"ablated",-1.5983587894003,-1.06948621023009,NA,1.12167756159911,-0.653926467406664,NA,-1.06948621023009
"215","LD242_20","CL070_20","8/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.471,462.089,7,2476,3681,26.523,42.097,68.62,"Yes",2,3.27,1.08,0.55,75,"","","",7,2476,3681,"ablated",1.57478127806311,1.27328991761102,7.81439963380449,1.18478998490916,-0.59783700075562,8.21093973337902,1.27328991761102
"216","LD243_20","CL070_20","25/12/2020","31/1/2021","cold","ablated","Deli",NA,NA,NA,0.211,898.235,8,2550,3275,22.596,31.302,53.898,"Yes",2,5.1,1.45,1.06,37,"","","",8,2550,3275,"ablated",-1.5983587894003,-0.70905911363915,7.84384863815247,1.62924053973028,0.0582689081239758,8.09407314806935,-0.70905911363915
"217","LD257_20","Cl076_20","28/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.259,350.198,1,2587,2689,21.873,33.795,55.668,"Yes",2,4.56,1.47,0.72,45,"","","",1,2587,2689,"ablated",-0.930329301513267,-1.07402940892661,7.85825418218603,1.51732262352629,-0.328504066972036,7.89692465626886,-1.07402940892661
"218","LD258_20","Cl076_20","8/12/2020","31/1/2021","hot","ablated","Deli",NA,NA,NA,0.257,846.211,8,335,3061,23.566,36.614,60.18,"Yes",2,3.66,1.04,0.73,54,"","","",8,335,3061,"ablated",-0.178796127640353,-0.219403254124848,5.81413053182507,1.29746314741327,-0.3147107448397,8.02649693894541,-0.219403254124848
"219","LD263_20","CL078_20","12/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.394,818.547,NA,NA,NA,27.002,42.175,69.177,"Yes",2,4.06,1.61,0.72,50,"","","",NA,NA,NA,"control",-0.51281087158387,1.51508904823716,NA,1.40118297361364,-0.328504066972036,NA,1.51508904823716
"220","LD264_20","CL078_20","11/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.383,595.951,4,4223,4928,25.559,40.586,66.145,"Yes",2,3.02,0.99,0.49,72,"","","",4,4223,4928,"ablated",1.32427022010547,0.786662857227736,8.34830105493394,1.10525683138678,-0.713349887877465,8.50268850521336,0.786662857227736
"221","LD269_20","CL079_20","28/12/2020","21/2/2021","cold","control","Deli",NA,NA,NA,0.383,490.288,1,1594,3783,24.703,32.739,57.442,"Yes",2,5.82,2.01,0.99,55,"","","",1,1594,3783,"control",-0.0952924416544739,0.354554181202742,7.37400185935016,1.76130026174335,-0.0100503358535015,8.23827262463303,0.354554181202742
"222","LD280_20","CL084_20","11/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.277,497.868,3,5156,NA,23.846,36.798,60.644,"Yes",2,3.7,1.15,0.66,62,"","","",3,5156,NA,"control",0.489233360246681,-0.07805929467742,8.54791636405908,1.30833281965018,-0.415515443961666,NA,-0.07805929467742
"223","LD281_20","CL084_20","11/12/2020","21/2/2021","hot","ablated","Deli",NA,NA,NA,0.429,589.857,6,1220,NA,26.948,37.733,64.681,"Yes",2,2.69,0.92,0.42,72,"","","",6,1220,NA,"ablated",1.32427022010547,1.48782985605801,7.1066061377273,0.989541193613748,-0.867500567704723,NA,1.48782985605801
