"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","mass.hatch","SVL_hatch","Tail_length_hatch","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","X25fast","age","Notes","Notes.1","Notes.2.y","time_tohide","time_hiding","time_active","maternal","svlguich","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec","z_svl"
"109","LG112_20","CL031_20","23/12/2020","11/2/2021","cold","ablated","Guich",0.166,19.986,28.232,0.355,847.639,13,NA,NA,25.916,39.144,65.06,"Yes",1,2.99,1.18,0.43,50,"","","",13,NA,NA,"ablated",-0.0662842580179961,NA,1.0952733874026,-0.843970070294529,NA,-0.0662842580179961
"110","LG113_20","CL031_20","20/12/2020","11/2/2021","cold","control","Guich",0.121,17.889,25.818,0.313,1242.36,69,205,1174,25.495,37.362,62.857,"Yes",1,2.37,0.75,0.47,53,"","","",69,205,1174,"control",-0.25685499258267,5.32300997913841,0.86288995514704,-0.755022584278033,7.06817200038804,-0.25685499258267
"111","LG118_20","CL032_20","22/12/2020","11/2/2021","cold","control","Guich",0.148,19.76,24.01,0.306,27.0626,6,1255,2638,23.163,32.574,55.737,"Yes",1,4.24,1.45,0.57,51,"","","",6,1255,2638,"control",-1.31246295696467,7.13489085156588,1.44456326924387,-0.562118918153541,7.87777633327726,-1.31246295696467
"112","LG121_20","CL033_20","3/12/2020","31/1/2021","cold","ablated","Guich",0.169,19.856,22.553,0.422,220.285,58,927,1902,24.419,34.841,59.26,"Yes",1,3.51,1.21,0.53,59,"","","",58,927,1902,"ablated",-0.743919387812099,6.83195356556585,1.25561603747777,-0.63487827243597,7.55066124310534,-0.743919387812099
"113","LG122_20","CL034_20","4/12/2020","31/1/2021","hot","ablated","Guich",0.148,20.121,26.786,0.346,612.406,3,393,1019,25.821,36.934,62.755,"Yes",1,3.5,1.13,0.64,58,"","","",3,393,1019,"ablated",-0.109287155366319,5.97380961186926,1.25276296849537,-0.44628710262842,6.92657703322272,-0.109287155366319
"114","LG135_20","CL038_20","6/12/2020","11/2/2021","hot","control","Guich",0.149,19.318,28.362,0.529,688.907,209,NA,NA,28.481,NA,NA,"Yes",1,5.94,3.48,0.7,67,"tail tip is invisible","","",209,NA,NA,"control",1.09479397038673,NA,1.78170913337455,-0.356674943938732,NA,1.09479397038673
"115","LG141_20","CL040_20","24/12/2020","31/1/2021","cold","ablated","Guich",0.166,20.707,29.599,0.468,1185.84,8,181,NA,26.249,41.329,67.578,"Yes",1,4.96,2.14,0.77,38,"","","",8,181,NA,"ablated",0.0844522137398096,5.19849703126583,1.60140574073684,-0.261364764134408,NA,0.0844522137398096
"116","LG142_20","CL041_20","26/12/2020","21/2/2021","cold","ablated","Guich",0.152,20.782,25.382,0.346,493.414,95,2420,4541,25.001,NA,NA,"Yes",1,4.04,1.59,0.59,57,"","","",95,2420,4541,"ablated",-0.48047005879395,7.79152281915073,1.39624469197306,-0.527632742082372,8.42090253109795,-0.48047005879395
"117","LG144_20","CL042_20","3/12/2020","31/1/2021","hot","ablated","Guich",0.126,19.123,25.274,0.453,1154.82,7,1331,1413,27.927,40.804,68.731,"Yes",1,3,1.01,0.43,59,"","","",7,1331,1413,"ablated",0.844019179534402,7.19368581839511,1.09861228866811,-0.843970070294529,7.25347038268453,0.844019179534402
"118","LG145_20","CL043_20","6/12/2020","11/2/2021","hot","control","Guich",0.13,18.787,23.958,0.393,832.478,9,5704,NA,27.189,37.898,65.087,"Yes",1,2.84,0.93,0.56,67,"","","",9,5704,NA,"control",0.509954566449534,8.64892296209413,1.04380405217311,-0.579818495252942,NA,0.509954566449534
"119","LG147_20","CL044_20","29/12/2020","21/2/2021","cold","ablated","Guich",0.163,19.648,25.153,0.416,301.022,1,2496,2825,NA,NA,NA,"Yes",1,4.42,1.76,0.73,54,"no photo","","",1,2496,2825,"ablated",NA,7.82244472948932,1.48613969608961,-0.3147107448397,7.94626364358054,NA
"120","LG148_20","CL044_20","6/12/2020","11/2/2021","hot","ablated","Guich",0.144,19.877,24.898,0.439,1026.16,6,1246,2970,28.577,39.293,67.87,"Yes",1,5.23,1.58,1.04,67,"","","",6,1246,2970,"ablated",1.1382495298124,7.1276936993474,1.65441127807683,0.0392207131532813,7.99631723179675,1.1382495298124
"121","LG149_20","CL044_20","7/12/2020","31/1/2021","hot","control","Guich",0.154,20.722,24.533,0.441,648.837,1,1423,1512,29.464,36.962,66.426,"Yes",1,4.07,2.07,0.26,55,"V1.2 wrong","","",1,1423,1512,"control",1.53976079242253,7.26052259808985,1.4036429994545,-1.34707364796661,7.32118855673948,1.53976079242253
"122","LG150_20","CL044_20","29/12/2020","11/2/2021","cold","control","Guich",0.153,19.209,23.835,0.326,787.871,7,1633,NA,24.868,33.603,58.471,"Yes",1,10.63,4.05,1.77,44,"","","",7,1633,NA,"control",-0.540674115081604,7.39817409297047,2.36368019235386,0.570979546585738,NA,-0.540674115081604
"123","LG159_20","CL047_20","7/12/2020","2/3/2021","hot","control","Guich",0.156,19.233,28.069,0.59,271.166,4,1838,2995,28.258,49.537,77.795,"Yes",1,4.78,1.56,1.07,85,"","","",4,1838,2995,"control",0.993850327137507,7.51643330291563,1.56444054650336,0.0676586484738149,8.00469951054955,0.993850327137507
"124","LG160_20","CL047_20","24/12/2020","31/1/2021","cold","ablated","Guich",0.143,19.942,25.935,0.476,475.002,11,629,1403,28.591,39.573,68.164,"Yes",1,9.99,5.79,0.84,38,"","","",11,629,1403,"ablated",1.14458679889531,6.44413125670044,2.30158459266046,-0.174353387144778,7.24636808010246,1.14458679889531
"126","LG176_20","CL051_20","6/12/2020","21/2/2021","hot","control","Guich",0.151,19.242,29.379,0.626,444.999,9,1596,2680,30.107,50.163,80.27,"Yes",1,6.83,5.53,0.36,77,"","","",9,1596,2680,"control",1.83082250815908,7.37525577800975,1.9213246735827,-1.02165124753198,7.8935720735049,1.83082250815908
"127","LG195_20","CL056_20","8/12/2020","21/2/2021","hot","control","Guich",0.162,21.09,27.926,0.469,532.828,12,634,2561,29.483,41.951,71.434,"Yes",1,8.24,2.31,1.84,75,"","","",12,634,2561,"control",1.5483613718922,6.45204895443723,2.10900034392138,0.609765571620894,7.84815308619953,1.5483613718922
"128","LG197_20","CL056_20","29/12/2020","11/2/2021","cold","ablated","Guich",0.146,19.628,24.661,0.254,149.931,9,1611,3314,24.01,32.081,56.091,"Yes",1,10.85,7.1,0.85,44,"","","",9,1611,3314,"ablated",-0.929058177448563,7.38461038317697,2.38416507998647,-0.162518929497775,8.10591119798651,-0.929058177448563
"129","LG212_20","CL061_20","9/12/2020","31/1/2021","hot","control","Guich",0.139,19.129,23.129,0.416,1004.09,37,NA,NA,26.336,NA,NA,"Yes",1,4.41,2.37,0.46,53,"tail tip is invisible","","",37,NA,NA,"control",0.123833814469326,NA,1.48387468945875,-0.776528789498996,NA,0.123833814469326
"130","LG213_20","CL061_20","30/12/2020","11/2/2021","cold","ablated","Guich",0.112,18.379,22.879,0.278,762.912,195,581,805,22.356,31.747,54.103,"Yes",1,4.18,1.61,0.52,43,"","","",195,581,805,"ablated",-1.67776125338674,6.36475075685191,1.43031124653666,-0.653926467406664,6.69084227741856,-1.67776125338674
"131","LG214_20","CL062_20","9/12/2020","2/3/2021","hot","control","Guich",0.144,19.192,27.708,0.505,337.071,3,19,1289,28.484,43.116,71.6,"Yes",1,3.34,1.24,0.33,83,"","","",3,19,1289,"control",1.09615195661878,2.94443897916644,1.20597080698861,-1.10866262452161,7.16162200293919,1.09615195661878
"132","LG217_20","CL063_20","8/12/2020","11/2/2021","hot","control","Guich",0.138,18.094,26.528,0.451,211.926,8,79,1420,26.533,41.963,68.496,"Yes",1,3.59,1.38,0.65,65,"","","",8,79,1420,"control",0.213008243707429,4.36944785246702,1.27815220250019,-0.430782916092454,7.25841215059531,0.213008243707429
