"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","mass.hatch","SVL_hatch","Tail_length_hatch","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","X25fast","age","Notes","Notes.1","Notes.2.y","time_tohide","time_hiding","time_active","maternal","svlguich","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec","z_svl"
"508","LG316_20","CL095_20","19/12/2020","2/3/2021","hot","ablated","Guich",NA,NA,NA,0.516,1298.71,1,1228,3429,26.215,NA,NA,"Yes",3,3.69,1.03,0.66,73,"recorded as LG319","","",1,1228,3429,"ablated",0.0690617031098839,7.11314210870709,1.30562645805244,-0.415515443961666,8.14002395246292,0.0690617031098839
"509","LG317_20","CL095_20","7/1/2021","21/2/2021","cold","control","Guich",NA,NA,NA,0.339,834.543,9,25,149,24.469,36.589,61.058,"Yes",3,4.15,1.59,0.62,45,"","","",9,25,149,"control",-0.72128628394456,3.2188758248682,1.42310833424261,-0.478035800943,5.00394630594546,-0.72128628394456
"510","LG318_20","CL095_20","17/12/2020","11/2/2021","hot","control","Guich",NA,NA,NA,0.42,871.123,2,428,634,27.078,42.079,69.157,"Yes",3,4.47,1.76,0.85,56,"","","",2,428,634,"control",0.459709075863598,6.0591231955818,1.49738840862548,-0.162518929497775,6.45204895443723,0.459709075863598
"511","LG320_20","CL095_20","19/12/2020","31/1/2021","hot","ablated","Guich",NA,NA,NA,0.402,633.317,5,297,1109,26.675,42.074,68.749,"Yes",3,4.85,1.52,0.91,43,"","","",5,297,1109,"ablated",0.277286258691239,5.6937321388027,1.57897870494939,-0.0943106794712413,7.01121398735037,0.277286258691239
"512","LG321_20","CL095_20","7/1/2021","21/2/2021","cold","control","Guich",NA,NA,NA,0.245,931.142,10,109,126,22.872,31.149,54.021,"Yes",3,5.41,1.59,1.07,45,"","","",10,109,126,"control",-1.44418762147374,4.69134788222914,1.68824909285839,0.0676586484738149,4.83628190695148,-1.44418762147374
"513","LG322_20","CL095_20","18/12/2020","31/1/2021","hot","control","Guich",NA,NA,NA,0.347,548.857,18,485,1370,26.293,38.721,65.014,"Yes",3,5.2,1.45,1.09,44,"","","",18,485,1370,"control",0.104369345143244,6.18414889093748,1.64865862558738,0.0861776962410524,7.22256601882217,0.104369345143244
"514","LG324_20","CL096_20","18/12/2020","31/1/2021","hot","ablated","Guich",NA,NA,NA,0.393,1377.68,5,2796,3259,26.835,NA,NA,"Yes",3,4.05,1.75,0.65,44,"tail tip is invisible","","",5,2796,3259,"ablated",0.349712191067362,7.9359451033537,1.39871688111845,-0.430782916092454,8.08917567883756,0.349712191067362
"515","LG325_20","CL096_20","6/1/2021","21/2/2021","cold","control","Guich",NA,NA,NA,0.299,717.918,6,536,2626,23.306,36.422,59.728,"Yes",3,2.86,0.8,0.63,46,"","","",6,536,2626,"control",-1.24773227990351,6.2841341610708,1.05082162483176,-0.462035459596559,7.87321705486274,-1.24773227990351
"516","LG341_20","CL099_20","3/1/2021","2/3/2021","cold","ablated","Guich",NA,NA,NA,0.241,1305.69,7,34,117,22.511,30.771,53.282,"Yes",3,27,11,3.49,58,"","","",7,34,117,"ablated",-1.60759863139737,3.52636052461616,3.29583686600433,1.24990173621434,4.76217393479776,-1.60759863139737
"517","LG366_20","CL106_20","8/1/2021","2/3/2021","cold","control","Guich",NA,NA,NA,0.324,417.033,17,358,1749,25.207,34.376,59.583,"Yes",3,4.34,1.36,0.96,53,"","","",17,358,1749,"control",-0.387221670859692,5.8805329864007,1.46787434811231,-0.0408219945202552,7.4667994750186,-0.387221670859692
"518","LG368_20","CL107_20","18/12/2020","21/2/2021","hot","ablated","Guich",NA,NA,NA,0.395,999.933,23,3112,3122,26.057,39.706,65.763,"Yes",3,4.24,1.44,0.82,65,"","","",23,3112,3122,"ablated",-0.00245890511153829,8.04302088529828,1.44456326924387,-0.198450938723838,8.04622910107538,-0.00245890511153829
"519","LG377_20","CL110_20","8/1/2021","2/3/2021","cold","control","Guich",NA,NA,NA,0.35,531.238,3,2097,3415,25.643,NA,NA,"Yes",3,12.73,5.18,1.95,53,"","","",3,2097,3415,"control",-0.189861005134756,7.64826303090192,2.54396141256932,0.667829372575655,8.13593277200489,-0.189861005134756
"520","LG411_20","CL122_20","25/12/2020","11/2/2021","hot","control","Guich",NA,NA,NA,0.34,1730.22,21,364,462,NA,NA,NA,"Yes",3,5.03,2.14,0.7,48,"cannot see cloaca","","",21,364,462,"control",NA,5.89715386763674,1.61541998411165,-0.356674943938732,6.13556489108174,NA
"521","LG413_20","CL122_20","9/1/2021","21/2/2021","cold","control","Guich",NA,NA,NA,0.299,508.9,2,12,150,23.326,NA,NA,"Yes",3,6.31,1.84,1.11,43,"part of tail is invisible","","",2,12,150,"control",-1.23867903835649,2.484906649788,1.84213567655312,0.104360015324243,5.01063529409626,-1.23867903835649
"522","LG414_20","CL122_20","24/12/2020","21/2/2021","hot","ablated","Guich",NA,NA,NA,0.515,768.666,NA,NA,NA,27.309,45.761,73.07,"Yes",3,3.35,1.18,0.64,59,"","","",NA,NA,NA,"ablated",0.564274015731627,NA,1.20896034583698,-0.44628710262842,NA,0.564274015731627
"523","LG450_20","CL133_20","30/12/2020","21/2/2021","hot","ablated","Guich",NA,NA,NA,0.329,545.269,2,NA,NA,27.811,39.267,67.078,"Yes",3,3.25,1.14,0.7,53,"","","",2,NA,NA,"ablated",0.791510378561713,NA,1.17865499634165,-0.356674943938732,NA,0.791510378561713
"524","LG455_20","CL135_20","31/12/2020","11/2/2021","hot","ablated","Guich",NA,NA,NA,0.281,622.63,12,372,851,24.615,36.159,60.774,"Yes",3,3.06,1.04,0.56,42,"","","",12,372,851,"ablated",-0.655197620651349,5.91889385427315,1.11841491596429,-0.579818495252942,6.74641212857337,-0.655197620651349
"525","LG457_20","CL136_20","31/12/2020","2/3/2021","hot","ablated","Guich",NA,NA,NA,0.374,855.104,1,135,3463,26.456,34.221,60.677,"Yes",3,12.17,4.76,2.12,61,"","","",1,135,3463,"ablated",0.178153263751419,4.90527477843843,2.49897390699944,0.751416088683921,8.14989054440242,0.178153263751419
"526","LG467_20","CL139_20","2/1/2021","21/2/2021","hot","ablated","Guich",NA,NA,NA,0.329,785.618,6,299,573,23.438,NA,NA,"Yes",3,6.73,2.28,1.39,50,"","","",6,299,573,"ablated",-1.1879808856932,5.70044357339069,1.90657514365664,0.3293037471426,6.35088571671474,-1.1879808856932
"527","LG548_20","CL161_20","10/1/2021","21/2/2021","hot","ablated","Guich",NA,NA,NA,0.245,1384.18,17,190,257,22.241,33.678,55.919,"Yes",3,4.74,2.15,0.77,42,"","","",17,190,257,"ablated",-1.72981739228208,5.24702407216049,1.55603713570699,-0.261364764134408,5.54907608489522,-1.72981739228208
"528","LG549_20","CL161_20","10/1/2021","2/3/2021","hot","control","Guich",NA,NA,NA,0.36,931.203,19,670,4185,25.804,NA,NA,"Yes",3,5.76,1.87,1.01,51,"","","",19,670,4185,"control",-0.116982410681283,6.50727771238501,1.7509374747078,0.00995033085316809,8.33926198292358,-0.116982410681283
