"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","age","Notes","Notes.1","Notes.2.y","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec"
"27","LD191_20","CL055_20","4/12/2020","31/1/2021","hot","ablated","Deli",0.363,886.822,21,4722,NA,26.108,39.914,66.022,"Yes",1,6.69,2.85,58,"","","",8.45998771764546,1.90061387414014,1.04731899428056,NA
"28","LD192_20","CL055_20","24/12/2020","31/1/2021","hot","control","Deli",0.278,412.39,3,4784,NA,22.841,NA,NA,"Yes",1,3.43,1.35,38,"","","",8.47303229563047,1.23256026117785,0.300104592450338,NA
"29","LD200_20","CL057_20","6/12/2020","11/2/2021","hot","control","Deli",0.331,838.521,7,3369,3448,25.999,NA,NA,"Yes",1,3.22,1.04,67,"tail tip is invisible","","",8.12237124340655,1.16938135955632,0.0392207131532813,8.14554963178358
"30","LD201_20","CL057_20","26/12/2020","11/2/2021","cold","control","Deli",0.268,620.13,12,NA,NA,23.051,38.254,61.305,"Yes",1,2.65,0.82,47,"","","",NA,0.974559639998131,-0.198450938723838,NA
"31","LD202_20","CL058_20","24/12/2020","21/2/2021","cold","ablated","Deli",0.262,993.559,0,1001,3752,22.082,NA,NA,"Yes",1,2.82,0.83,59,"","","",6.90875477931522,1.03673688495002,-0.186329578191493,8.23004431012611
"32","LD204_20","CL058_20","6/12/2020","31/1/2021","hot","control","Deli",0.316,783.356,10,2051,3723,25.541,29.456,54.997,"Yes",1,17.72,7.14,56,"","","",7.62608275807238,2.87469394517693,1.96571277635149,8.22228507387272
"33","LD209_20","CL059_20","24/12/2020","31/1/2021","cold","control","Deli",0.255,315.902,1,799,3902,22.109,36.438,58.547,"Yes",1,2.49,0.83,38,"","Second run; turn back several times","",6.68336094576627,0.912282710476616,-0.186329578191493,8.26924452118306
"34","LD227_20","CL066_20","5/12/2020","11/2/2021","hot","ablated","Deli",0.322,813.81,42,4729,NA,27.068,NA,NA,"Yes",1,7.17,2.19,68,"tail tip is invisible","","",8.46146904264388,1.96990565461153,0.783901543828409,NA
"35","LD228_20","CL066_20","6/12/2020","11/2/2021","hot","control","Deli",0.334,328.726,1,NA,NA,25.13,36.875,62.005,"Yes",1,2.42,0.75,67,"","","",NA,0.883767540168595,-0.287682072451781,NA
"36","LD237_20","CL069_20","7/12/2020","1/2/2021","hot","control","Deli",0.374,732.996,3,NA,NA,25.094,38.84,63.934,"Yes",1,4.53,1.78,56,"weight and photo on Mon","","",NA,1.51072193949494,0.576613364303994,NA
