"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Movement","Movement.1","Movement.2","Movement.3","Movement.4","Movement.5","Time_hide_sec","Time_snout_sec","Time_emerge_sec","Notes.y","bd_liz_id.y","SVL","Tail","Total","Tail_intact","Notes","Notes.1","Notes.2.y","day","speed_1m_s","burst_25cm","day_hatch.1","day_photo.1","age","time_tohide","time_hiding","time_active","maternal"
"100","LG088_20","CL026_20","21/12/2020","21/2/2021","cold","ablated","Guich",0.374,776.988,136.12,25.1599,1063.92,0.039999,NA,NA,70,328,577,"","LG088_20",NA,NA,NA,"Yes","cannot see cloaca","V2.4 wrong","",1,3.39,0.96,"21/12/2020","21/2/2021",62,70,328,577,"ablated"
"101","LG089_20","CL026_20","21/12/2020","31/1/2021","cold","control","Guich",0.416,2996.82,405.639,9.23998,794.398,0.039999,NA,NA,59,153,282,"","LG089_20",27.481,41.226,68.707,"Yes","","","second run",1,5.46,1.88,"21/12/2020","31/1/2021",41,59,153,282,"control"
"102","LG097_20","CL029_20","2/12/2020","31/1/2021","hot","ablated","Guich",0.457,687.238,132.88,0.239999,1067.16,0.039999,NA,NA,6,610,2981,"","LG097_20",26.372,43.668,70.04,"Yes","","","",1,4.44,1.58,"2/12/2020","31/1/2021",60,6,610,2981,"ablated"
"103","LG100_20","CL029_20","21/12/2020","11/2/2021","cold","ablated","Guich",0.388,1121.23,164.8,18.4,1035.24,0.039999,NA,NA,7,375,655,"","LG100_20",27.365,39.322,66.687,"Yes","wrong V1.1","","",1,2.25,1.2,"21/12/2020","11/2/2021",52,7,375,655,"ablated"
"104","LG101_20","CL029_20","1/12/2020","31/1/2021","hot","control","Guich",0.461,639.421,0.943791,109.48,190.08,9.321,1090.56,0.039999,81,664,4007,"","LG101_20",29.664,42.346,72.01,"Yes","","","",1,2.18,0.74,"1/12/2020","31/1/2021",61,81,664,4007,"control"
"105","LG102_20","CL029_20","22/12/2020","31/1/2021","cold","control","Guich",0.359,777.254,0.875252,154.92,86.8798,5.87145,1045.12,0.039999,5,3442,7818,"","LG102_20",23.94,35.209,59.149,"Yes","","","",1,9.33,4.73,"22/12/2020","31/1/2021",40,5,3442,7818,"control"
"106","LG104_20","CL030_20","23/12/2020","21/2/2021","cold","ablated","Guich",0.545,19.3447,0,NA,1200.04,0.039999,NA,NA,22,2308,5091,"","LG104_20",26.245,41.193,67.438,"Yes","","","",1,4.04,1.36,"23/12/2020","21/2/2021",60,22,2308,5091,"ablated"
"107","LG109_20","CL030_20","23/12/2020","11/2/2021","cold","ablated","Guich",0.333,771.012,0.97387,168.48,25.5599,5.92849,1031.56,0.039999,2,1092,1094,"","LG109_20",23.241,35.779,59.02,"Yes","","","",1,2.77,1.23,"23/12/2020","11/2/2021",50,2,1092,1094,"ablated"
"108","LG111_20","CL031_20","21/12/2020","11/2/2021","cold","ablated","Guich",0.342,2083.31,1.37842,296.359,17.52,4.20315,903.678,0.039999,140,483,684,"","LG111_20",25.947,37.045,62.992,"Yes","","","",1,4.68,1.93,"21/12/2020","11/2/2021",52,140,483,684,"ablated"
"109","LG112_20","CL031_20","23/12/2020","11/2/2021","cold","ablated","Guich",0.355,847.639,155.36,6.11998,1044.68,0.039999,NA,NA,13,NA,NA,"","LG112_20",25.916,39.144,65.06,"Yes","","","",1,2.99,1.18,"23/12/2020","11/2/2021",50,13,NA,NA,"ablated"
"110","LG113_20","CL031_20","20/12/2020","11/2/2021","cold","control","Guich",0.313,1242.36,236.759,116.88,963.278,0.039999,NA,NA,69,205,1174,"","LG113_20",25.495,37.362,62.857,"Yes","","","",1,2.37,0.75,"20/12/2020","11/2/2021",53,69,205,1174,"control"
"111","LG118_20","CL032_20","22/12/2020","11/2/2021","cold","control","Guich",0.306,27.0626,NA,0,NA,1200.04,1200.04,0.039999,6,1255,2638,"","LG118_20",23.163,32.574,55.737,"Yes","","","",1,4.24,1.45,"22/12/2020","11/2/2021",51,6,1255,2638,"control"
"112","LG121_20","CL033_20","3/12/2020","31/1/2021","cold","ablated","Guich",0.422,220.285,36.1999,469.879,1163.84,0.039999,NA,NA,58,927,1902,"","LG121_20",24.419,34.841,59.26,"Yes","","","",1,3.51,1.21,"3/12/2020","31/1/2021",59,58,927,1902,"ablated"
"113","LG122_20","CL034_20","4/12/2020","31/1/2021","hot","ablated","Guich",0.346,612.406,101.32,27.0399,1098.72,0.039999,NA,NA,3,393,1019,"","LG122_20",25.821,36.934,62.755,"Yes","","","",1,3.5,1.13,"4/12/2020","31/1/2021",58,3,393,1019,"ablated"
"114","LG135_20","CL038_20","6/12/2020","11/2/2021","hot","control","Guich",0.529,688.907,120.56,0.279999,1079.48,0.039999,NA,NA,209,NA,NA,"","LG135_20",28.481,NA,NA,"Yes","tail tip is invisible","","",1,5.94,3.48,"6/12/2020","11/2/2021",67,209,NA,NA,"control"
"115","LG141_20","CL040_20","24/12/2020","31/1/2021","cold","ablated","Guich",0.468,1185.84,0.606649,248.119,2.91999,2.32175,951.918,0.039999,8,181,NA,"","LG141_20",26.249,41.329,67.578,"Yes","","","",1,4.96,2.14,"24/12/2020","31/1/2021",38,8,181,NA,"ablated"
"116","LG142_20","CL041_20","26/12/2020","21/2/2021","cold","ablated","Guich",0.346,493.414,0.981998,98.1998,231.159,10.756,1086.36,0.039999,95,2420,4541,"","LG142_20",25.001,NA,NA,"Yes","","","",1,4.04,1.59,"26/12/2020","21/2/2021",57,95,2420,4541,"ablated"
"117","LG144_20","CL042_20","3/12/2020","31/1/2021","hot","ablated","Guich",0.453,1154.82,196.839,0.039999,1003.2,0.119999,NA,NA,7,1331,1413,"","LG144_20",27.927,40.804,68.731,"Yes","","","",1,3,1.01,"3/12/2020","31/1/2021",59,7,1331,1413,"ablated"
"118","LG145_20","CL043_20","6/12/2020","11/2/2021","hot","control","Guich",0.393,832.478,167.08,30.4799,1031.08,0.039999,NA,NA,9,5704,NA,"","LG145_20",27.189,37.898,65.087,"Yes","","","",1,2.84,0.93,"6/12/2020","11/2/2021",67,9,5704,NA,"control"
"119","LG147_20","CL044_20","29/12/2020","21/2/2021","cold","ablated","Guich",0.416,301.022,0.956979,50.7199,2.91999,20.997,1133.84,0.039999,1,2496,2825,"","LG147_20",NA,NA,NA,"Yes","no photo","","",1,4.42,1.76,"29/12/2020","21/2/2021",54,1,2496,2825,"ablated"
